title,city,location,bedrooms,price_inr,area_sqft,estimated_monthly_rent,price_lakhs,price_lakhs_psf,down_payment,loan_amount,monthly_emi,effective_emi,total_tax_saved,final_property_value,final_renting_wealth,decision,wealth_difference
"2 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,2,24623321.0,1234.8,92562,246.23,0.1994,6155830,18467491,143178,134630,2051513,78970326,79849758,RENTING is financially better,879431
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,13498698.0,1368.6,51225,134.99,0.0986,3374674,10124024,78491,70137,2005089,43292153,43408412,RENTING is financially better,116259
"3 BHK Apartment in saint tukaram nagar, Bangalore",Bangalore,saint tukaram nagar,3,15425935.0,719.1,58537,154.26,0.2145,3856484,11569451,89698,81293,2017238,49473063,49607059,RENTING is financially better,133996
"3 BHK Apartment in mohan nagar co-op society, Mumbai",Mumbai,mohan nagar co-op society,3,42369681.0,1573.3,168265,423.7,0.2693,10592420,31777261,246369,237732,2072734,135885307,130570071,BUYING is financially better,5315236
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,16188792.0,747.0,57226,161.89,0.2167,4047198,12141594,94134,85708,2022047,51919649,55254043,RENTING is financially better,3334394
"3 BHK Apartment in sant nagar, Bangalore",Bangalore,sant nagar,3,7624282.0,928.3,25929,76.24,0.0821,1906070,5718212,44333,36373,1910548,24452105,26798690,RENTING is financially better,2346585
"3 BHK Apartment in malad west, Mumbai",Mumbai,malad west,3,14057315.0,1512.8,60505,140.57,0.0929,3514329,10542986,81740,73370,2008611,45083714,39767586,BUYING is financially better,5316128
"3 BHK Apartment in khese park, Bangalore",Bangalore,khese park,3,6837470.0,881.4,31929,68.37,0.0776,1709368,5128102,39758,31954,1873109,21928693,17444963,BUYING is financially better,4483730
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,7279831.0,704.8,30286,72.8,0.1033,1819958,5459873,42330,34431,1895870,23347404,21389862,BUYING is financially better,1957543
"4 BHK Apartment in chovisawadi, Bangalore",Bangalore,chovisawadi,4,14960339.0,1787.1,53910,149.6,0.0837,3740085,11220254,86991,78598,2014303,47979834,50281730,RENTING is financially better,2301896
"3 BHK Apartment in eon free zone, Mumbai",Mumbai,eon free zone,3,9358799.0,884.0,36746,93.59,0.1059,2339700,7019099,54419,46273,1955062,30014936,29160657,BUYING is financially better,854280
"3 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,3,25568868.0,1024.4,91328,255.69,0.2496,6392217,19176651,148676,140117,2054259,82002824,86552205,RENTING is financially better,4549382
"2 BHK Apartment in kotwal nagar, Mumbai",Mumbai,kotwal nagar,2,12858327.0,1217.0,53394,128.58,0.1057,3214582,9643745,74768,66435,1999961,41238397,37856737,BUYING is financially better,3381659
"3 BHK Apartment in goregaon west, Mumbai",Mumbai,goregaon west,3,18140065.0,1493.0,69742,181.4,0.1215,4535016,13605049,105480,97010,2032684,58177646,57647492,BUYING is financially better,530154
"4 BHK Apartment in rakshak nagar, Bangalore",Bangalore,rakshak nagar,4,11827596.0,1373.7,43215,118.28,0.0861,2956899,8870697,68774,60488,1988742,37932703,39301564,RENTING is financially better,1368862
"4 BHK Apartment in gawade nagar, Bangalore",Bangalore,gawade nagar,4,13163890.0,1390.3,54972,131.64,0.0947,3290972,9872918,76545,68199,2002979,42218379,38521596,BUYING is financially better,3696783
"3 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,3,19285763.0,1223.5,69934,192.86,0.1576,4821441,14464322,112142,103658,2036011,61852055,64487482,RENTING is financially better,2635427
"3 BHK Apartment in laxmi nagar, Bangalore",Bangalore,laxmi nagar,3,7546365.0,731.3,26555,75.46,0.1032,1886591,5659774,43880,35933,1907272,24202215,25848233,RENTING is financially better,1646019
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,19887188.0,866.3,73488,198.87,0.2296,4971797,14915391,115639,107148,2037758,63780906,65455819,RENTING is financially better,1674913
"4 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,4,13138368.0,1473.3,54370,131.38,0.0892,3284592,9853776,76396,68051,2002818,42136526,38823118,BUYING is financially better,3313408
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,7686562.0,1145.9,35088,76.87,0.0671,1921640,5764922,44695,36724,1913166,24651846,20223378,BUYING is financially better,4428468
"2 BHK Apartment in andheri east, Mumbai",Mumbai,andheri east,2,3040810.0,681.7,11183,30.41,0.0446,760202,2280608,17682,12556,1230184,9752290,10049040,RENTING is financially better,296751
"2 BHK Apartment in minakshi puram, Mumbai",Mumbai,minakshi puram,2,17325601.0,1514.7,56838,173.26,0.1144,4331400,12994201,100744,92289,2029212,55565550,62480267,RENTING is financially better,6914718
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,28327374.0,1216.6,104137,283.27,0.2328,7081844,21245530,164716,156125,2061885,90849726,93645189,RENTING is financially better,2795463
"3 BHK Apartment in urit nagar, Bangalore",Bangalore,urit nagar,3,15628364.0,1419.2,52066,156.28,0.1101,3907091,11721273,90875,82464,2018514,50122281,55755227,RENTING is financially better,5632947
"4 BHK Apartment in mohan nagar co-op society, Mumbai",Mumbai,mohan nagar co-op society,4,12049105.0,1123.3,42968,120.49,0.1073,3012276,9036829,70062,61766,1991153,38643112,40839759,RENTING is financially better,2196647
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,22087373.0,882.2,70403,220.87,0.2504,5521843,16565530,128432,119915,2044148,70837197,81213900,RENTING is financially better,10376702
"2 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,2,5832370.0,799.3,28627,58.32,0.073,1458092,4374278,33914,26417,1799243,18705201,13823893,BUYING is financially better,4881308
"3 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,3,5829369.0,827.1,24870,58.29,0.0705,1457342,4372027,33896,26401,1798950,18695576,16658543,BUYING is financially better,2037033
"4 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,4,11655933.0,1377.2,39793,116.56,0.0846,2913983,8741950,67776,59498,1986873,37382156,40853425,RENTING is financially better,3471269
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,7644954.0,881.0,30149,76.45,0.0868,1911238,5733716,44453,36489,1911417,24518403,23720199,BUYING is financially better,798204
"4 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,4,35260802.0,1656.5,130709,352.61,0.2129,8815200,26445602,205032,196419,2067241,113086169,115743185,RENTING is financially better,2657017
"3 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,3,6916201.0,744.5,26085,69.16,0.0929,1729050,5187151,40216,32393,1877578,22181194,22362769,RENTING is financially better,181576
"4 BHK Apartment in hinjawadi phase 1, Bangalore",Bangalore,hinjawadi phase 1,4,15229180.0,1668.4,57988,152.29,0.0913,3807295,11421885,88554,80154,2015998,48842043,48824257,BUYING is financially better,17786
"2 BHK Apartment in powai, Mumbai",Mumbai,powai,2,13223534.0,1161.0,48906,132.24,0.1139,3305884,9917650,76891,68544,2003355,42409665,43491601,RENTING is financially better,1081936
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,7470570.0,703.5,29938,74.71,0.1062,1867642,5602928,43439,35506,1904085,23959130,22817136,BUYING is financially better,1141995
"3 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,3,8577995.0,828.6,39558,85.78,0.1035,2144499,6433496,49879,41797,1939698,27510792,22264430,BUYING is financially better,5246362
"4 BHK Apartment in indiranagar, Bangalore",Bangalore,indiranagar,4,9219876.0,1220.4,41102,92.2,0.0755,2304969,6914907,53611,45475,1952760,29569391,25005776,BUYING is financially better,4563616
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,21924040.0,1665.4,92830,219.24,0.1316,5481010,16443030,127483,118967,2043674,70313366,63187627,BUYING is financially better,7125740
"3 BHK Apartment in wadmukhwadi, Bangalore",Bangalore,wadmukhwadi,3,3241509.0,1251.8,13443,32.42,0.0259,810377,2431132,18849,13451,1295430,10395958,9556610,BUYING is financially better,839348
"3 BHK Apartment in goregaon west, Mumbai",Mumbai,goregaon west,3,5184324.0,993.6,18378,51.84,0.0522,1296081,3888243,30146,22938,1729691,16626829,17655263,RENTING is financially better,1028433
"3 BHK Apartment in udhyog nagar, Bangalore",Bangalore,udhyog nagar,3,5210732.0,721.5,20651,52.11,0.0722,1302683,3908049,30299,23079,1732772,16711523,16090238,BUYING is financially better,621286
"2 BHK Apartment in kotwal wadi, Bangalore",Bangalore,kotwal wadi,2,9526594.0,1056.7,36271,95.27,0.0902,2381648,7144946,55395,47237,1957842,30553078,30544472,BUYING is financially better,8606
"2 BHK Apartment in prabhag 36, Mumbai",Mumbai,prabhag 36,2,10333823.0,1041.7,43492,103.34,0.0992,2583456,7750367,60089,51875,1971216,33141970,29983075,BUYING is financially better,3158896
"4 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,4,13398795.0,1339.2,50339,133.99,0.1001,3349699,10049096,77911,69559,2004460,42971751,43472064,RENTING is financially better,500313
"3 BHK Apartment in kotwal nagar, Mumbai",Mumbai,kotwal nagar,3,9868732.0,799.6,39405,98.69,0.1234,2467183,7401549,57384,49203,1963510,31650360,30250765,BUYING is financially better,1399595
"3 BHK Apartment in wadmukhwadi, Mumbai",Mumbai,wadmukhwadi,3,15097762.0,1332.8,54631,150.98,0.1133,3774440,11323322,87790,79393,2015169,48420568,50572149,RENTING is financially better,2151581
"2 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,2,5537783.0,751.5,23149,55.38,0.0737,1384446,4153337,32201,24824,1770491,17760420,16187498,BUYING is financially better,1572922
"3 BHK Apartment in jijai nagar, Mumbai",Mumbai,jijai nagar,3,7783233.0,820.8,32704,77.83,0.0948,1945808,5837425,45257,37269,1917231,24961883,22623155,BUYING is financially better,2338727
"3 BHK Apartment in pandhari nagar, Mumbai",Mumbai,pandhari nagar,3,16221687.0,1562.4,74470,162.22,0.1038,4055422,12166265,94325,85899,2022254,52025148,42360061,BUYING is financially better,9665087
"3 BHK Apartment in bellagio, Mumbai",Mumbai,bellagio,3,23732745.0,875.0,80407,237.33,0.2712,5933186,17799559,138000,129463,2048927,76114128,83649680,RENTING is financially better,7535551
"3 BHK Apartment in laxmi nagar, Mumbai",Mumbai,laxmi nagar,3,10369663.0,801.3,41890,103.7,0.1294,2592416,7777247,60297,52081,1971810,33256914,31418115,BUYING is financially better,1838799
"4 BHK Apartment in mohan nagar co-op society, Bangalore",Bangalore,mohan nagar co-op society,4,10890952.0,1350.8,45175,108.91,0.0806,2722738,8168214,63328,55084,1978546,34928758,32102100,BUYING is financially better,2826658
"3 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,3,14335770.0,1648.9,65510,143.36,0.0869,3583942,10751828,83359,74982,2010366,45976756,37664799,BUYING is financially better,8311958
"3 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,3,7251578.0,943.0,31296,72.52,0.0769,1812894,5438684,42166,34272,1894508,23256793,20450629,BUYING is financially better,2806164
"3 BHK Apartment in kuthwad colony, Mumbai",Mumbai,kuthwad colony,3,8419239.0,802.2,35541,84.19,0.105,2104810,6314429,48956,40889,1936002,27001640,24346815,BUYING is financially better,2654825
"4 BHK Apartment in powai, Mumbai",Mumbai,powai,4,31116385.0,1284.1,100538,311.16,0.2423,7779096,23337289,180934,172334,2064040,99794462,113383898,RENTING is financially better,13589436
"3 BHK Apartment in hinjawadi phase 1, Bangalore",Bangalore,hinjawadi phase 1,3,6941169.0,757.8,22882,69.41,0.0916,1735292,5205877,40361,32532,1878996,22261269,24947268,RENTING is financially better,2685998
"2 BHK Apartment in atur nagar, Bangalore",Bangalore,atur nagar,2,10101560.0,1284.3,39316,101.02,0.0787,2525390,7576170,58738,50541,1967368,32397071,31737996,BUYING is financially better,659075
"3 BHK Apartment in eon free zone, Bangalore",Bangalore,eon free zone,3,2801606.0,886.7,11889,28.02,0.0316,700402,2101204,16291,11504,1148835,8985130,8054401,BUYING is financially better,930729
"4 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,4,8232706.0,1074.6,29854,82.33,0.0766,2058176,6174530,47871,39826,1930726,26403403,27527977,RENTING is financially better,1124574
"3 BHK Apartment in sant nagar, Bangalore",Bangalore,sant nagar,3,8389432.0,838.9,34116,83.89,0.1,2097358,6292074,48782,40719,1935214,26906045,25247170,BUYING is financially better,1658875
"3 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,3,2335371.0,718.1,9063,23.35,0.0325,583843,1751528,13580,9514,975648,7489851,7357552,BUYING is financially better,132299
"4 BHK Apartment in nilanjali society, Mumbai",Mumbai,nilanjali society,4,14998871.0,1704.0,66617,149.99,0.088,3749718,11249153,87215,78821,2014546,48103411,40867375,BUYING is financially better,7236036
"3 BHK Apartment in kotwal nagar, Mumbai",Mumbai,kotwal nagar,3,21308011.0,816.9,75850,213.08,0.2608,5327003,15981008,123901,115393,2041885,68337678,72325529,RENTING is financially better,3987851
"2 BHK Apartment in ramya nagari, Mumbai",Mumbai,ramya nagari,2,15508017.0,1585.1,66922,155.08,0.0978,3877004,11631013,90175,81768,2017755,49736311,43740239,BUYING is financially better,5996072
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,4056565.0,1521.4,18039,40.57,0.0267,1014141,3042424,23588,17202,1532666,13009954,11036281,BUYING is financially better,1973673
"3 BHK Apartment in mhada colony, Bangalore",Bangalore,mhada colony,3,2391779.0,775.4,10009,23.92,0.0308,597945,1793834,13908,9749,998126,7670759,6983132,BUYING is financially better,687627
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,21756704.0,935.7,84073,217.57,0.2325,5439176,16317528,126510,117996,2043188,69776697,68817104,BUYING is financially better,959593
"4 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,4,15237950.0,1417.6,65002,152.38,0.1075,3809488,11428462,88605,80205,2016053,48870170,43551518,BUYING is financially better,5318652
"2 BHK Apartment in kotwal wadi, Bangalore",Bangalore,kotwal wadi,2,6815880.0,691.8,27337,68.16,0.0985,1703970,5111910,39633,31833,1871865,21859451,20800341,BUYING is financially better,1059109
"3 BHK Apartment in kotwal nagar, Bangalore",Bangalore,kotwal nagar,3,27280047.0,1362.6,121630,272.8,0.2002,6820012,20460035,158626,150046,2059229,87490806,73975569,BUYING is financially better,13515238
"2 BHK Apartment in dhayari phata, Bangalore",Bangalore,dhayari phata,2,20706162.0,1258.6,80119,207.06,0.1645,5176540,15529622,120401,111900,2040137,66407467,65414064,BUYING is financially better,993403
"3 BHK Apartment in ram nagar, Mumbai",Mumbai,ram nagar,3,12403949.0,1071.4,45154,124.04,0.1158,3100987,9302962,72126,63813,1995015,39781145,41343408,RENTING is financially better,1562263
"3 BHK Apartment in kharalwadi, Bangalore",Bangalore,kharalwadi,3,8113136.0,1196.8,36128,81.13,0.0678,2028284,6084852,47176,39145,1927303,26019926,22034630,BUYING is financially better,3985296
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,8174521.0,746.1,31251,81.75,0.1096,2043630,6130891,47533,39495,1929060,26216796,26112361,BUYING is financially better,104435
"3 BHK Apartment in jijai nagar, Bangalore",Bangalore,jijai nagar,3,6653188.0,833.5,26418,66.53,0.0798,1663297,4989891,38687,30930,1861556,21337675,20506202,BUYING is financially better,831474
"2 BHK Apartment in dhayari phata, Bangalore",Bangalore,dhayari phata,2,16947089.0,1683.0,74237,169.47,0.1007,4236772,12710317,98543,90098,2026827,54351610,46960066,BUYING is financially better,7391544
"4 BHK Apartment in kishkinda nagar, Mumbai",Mumbai,kishkinda nagar,4,12954097.0,1303.5,54522,129.54,0.0994,3238524,9715573,75325,66987,2001003,41545544,37584118,BUYING is financially better,3961426
"4 BHK Apartment in chovisawadi, Bangalore",Bangalore,chovisawadi,4,10051837.0,1390.0,46340,100.52,0.0723,2512959,7538878,58449,50255,1966544,32237603,26101008,BUYING is financially better,6136595
"2 BHK Apartment in laxmi nagar, Bangalore",Bangalore,laxmi nagar,2,4596694.0,663.4,22256,45.97,0.0693,1149174,3447520,26729,19885,1642419,14742220,11127410,BUYING is financially better,3614810
"2 BHK Apartment in bandra east, Mumbai",Mumbai,bandra east,2,3324138.0,712.6,10758,33.24,0.0466,831034,2493104,19329,13822,1321569,10660961,12099339,RENTING is financially better,1438378
"3 BHK Apartment in malad west, Mumbai",Mumbai,malad west,3,17951648.0,1224.3,59942,179.52,0.1466,4487912,13463736,104384,95917,2032137,57573367,63940451,RENTING is financially better,6367084
"3 BHK Apartment in bandra east, Mumbai",Mumbai,bandra east,3,40122607.0,1209.4,131508,401.23,0.3318,10030652,30091955,233303,224673,2070998,128678636,144780863,RENTING is financially better,16102227
"3 BHK Apartment in bandra east, Mumbai",Mumbai,bandra east,3,21889545.0,885.4,85021,218.9,0.2472,5472386,16417159,127282,118767,2043574,70202736,68907208,BUYING is financially better,1295528
"3 BHK Apartment in saint tukaram nagar, Bangalore",Bangalore,saint tukaram nagar,3,6409142.0,793.0,27959,64.09,0.0808,1602286,4806856,37268,29575,1846093,20554987,17847966,BUYING is financially better,2707021
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,18924150.0,1387.4,71548,189.24,0.1364,4731038,14193112,110039,101560,2034961,60692313,61056958,RENTING is financially better,364646
"2 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,2,21945726.0,1129.8,74082,219.46,0.1942,5486432,16459294,127609,119093,2043737,70382916,77556502,RENTING is financially better,7173586
"3 BHK Apartment in udhyog nagar, Mumbai",Mumbai,udhyog nagar,3,3766570.0,988.6,13120,37.67,0.0381,941642,2824928,21902,15839,1454988,12079900,13003398,RENTING is financially better,923498
"2 BHK Apartment in bellagio, Bangalore",Bangalore,bellagio,2,9448430.0,1197.3,40565,94.48,0.0789,2362108,7086322,54940,46788,1956547,30302395,26807144,BUYING is financially better,3495251
"3 BHK Apartment in hinjawadi phase 1, Bangalore",Bangalore,hinjawadi phase 1,3,5896644.0,752.5,22462,58.97,0.0784,1474161,4422483,34287,26765,1805511,18911336,18897307,BUYING is financially better,14030
"2 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,2,14158159.0,1536.1,57512,141.58,0.0922,3539540,10618619,82326,73954,2009246,45407134,42655264,BUYING is financially better,2751870
"2 BHK Apartment in tyni audyogic wasahat, Bangalore",Bangalore,tyni audyogic wasahat,2,10970087.0,1306.9,43264,109.7,0.0839,2742522,8227565,63788,55541,1979408,35182555,34035772,BUYING is financially better,1146783
"4 BHK Apartment in kotwal nagar, Bangalore",Bangalore,kotwal nagar,4,8927344.0,1301.9,36076,89.27,0.0686,2231836,6695508,51910,43794,1947831,28631202,27038676,BUYING is financially better,1592525
"2 BHK Apartment in powai, Mumbai",Mumbai,powai,2,3855627.0,1394.2,16422,38.56,0.0277,963907,2891720,22419,16249,1480806,12365518,11038979,BUYING is financially better,1326539
"4 BHK Apartment in bandra east, Mumbai",Mumbai,bandra east,4,12544581.0,1133.5,53840,125.45,0.1107,3136145,9408436,72944,64625,1996546,40232171,35605021,BUYING is financially better,4627149
"4 BHK Apartment in chovisawadi, Mumbai",Mumbai,chovisawadi,4,30933680.0,1699.3,139528,309.34,0.182,7733420,23200260,179871,171272,2063898,99208502,82662080,BUYING is financially better,16546423
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,6342385.0,753.6,22056,63.42,0.0842,1585596,4756789,36879,29207,1841354,20340888,21923475,RENTING is financially better,1582588
"2 BHK Apartment in bellagio, Mumbai",Mumbai,bellagio,2,10360036.0,1129.2,43500,103.6,0.0917,2590009,7770027,60241,52026,1971651,33226039,30136831,BUYING is financially better,3089208
"2 BHK Apartment in wadmukhwadi, Bangalore",Bangalore,wadmukhwadi,2,7954444.0,1065.9,38448,79.54,0.0746,1988611,5965833,46253,38242,1922759,25510980,19305284,BUYING is financially better,6205695
"3 BHK Apartment in midc, Mumbai",Mumbai,midc,3,12666016.0,1464.7,57357,126.66,0.0865,3166504,9499512,73650,65325,1997868,40621629,33674760,BUYING is financially better,6946869
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,10194141.0,1334.5,44952,101.94,0.0764,2548535,7645606,59276,51073,1968902,32693991,28022698,BUYING is financially better,4671293
"4 BHK Apartment in rakshak nagar, Bangalore",Bangalore,rakshak nagar,4,11995148.0,1462.3,51555,119.95,0.082,2998787,8996361,69749,61455,1990565,38470065,33990061,BUYING is financially better,4480003
"3 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,3,10888192.0,1032.4,41198,108.88,0.1055,2722048,8166144,63312,55068,1978516,34919907,35105281,RENTING is financially better,185374
"3 BHK Apartment in rakshak nagar, Bangalore",Bangalore,rakshak nagar,3,10309408.0,1033.5,41888,103.09,0.0998,2577352,7732056,59947,51735,1970812,33063668,31052234,BUYING is financially better,2011434
"3 BHK Apartment in pandhari nagar, Mumbai",Mumbai,pandhari nagar,3,17161625.0,1633.6,64188,171.62,0.1051,4290406,12871219,99790,91340,2028179,55039656,55899078,RENTING is financially better,859421
"2 BHK Apartment in goregaon west, Mumbai",Mumbai,goregaon west,2,2921182.0,798.5,11275,29.21,0.0366,730296,2190886,16986,12027,1190186,9368626,9249757,BUYING is financially better,118869
"4 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,4,11492145.0,1459.9,47460,114.92,0.0787,2873036,8619109,66824,58553,1985090,36856866,34032662,BUYING is financially better,2824204
"2 BHK Apartment in prabhag 36, Bangalore",Bangalore,prabhag 36,2,21360081.0,1125.2,75559,213.6,0.1898,5340020,16020061,124203,115695,2042036,68504673,72863997,RENTING is financially better,4359324
"4 BHK Apartment in goregaon west, Mumbai",Mumbai,goregaon west,4,21452303.0,1301.0,88554,214.52,0.1649,5363076,16089227,124740,116230,2042304,68800442,63558315,BUYING is financially better,5242127
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,10421228.0,1227.3,44158,104.21,0.0849,2605307,7815921,60597,52377,1972665,33422290,30010279,BUYING is financially better,3412011
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,3845887.0,896.5,12698,38.46,0.0429,961472,2884415,22363,16204,1478047,12334281,13807480,RENTING is financially better,1473199
"3 BHK Apartment in hinjawadi phase 1, Bangalore",Bangalore,hinjawadi phase 1,3,6702201.0,782.1,26414,67.02,0.0857,1675550,5026651,38972,31202,1864662,21494867,20808091,BUYING is financially better,686775
"4 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,4,38532370.0,1237.8,126303,385.32,0.3113,9633092,28899278,224056,215432,2069769,123578531,139037052,RENTING is financially better,15458522
"2 BHK Apartment in malad west, Mumbai",Mumbai,malad west,2,15514606.0,821.9,58382,155.15,0.1888,3878652,11635954,90213,81806,2017797,49757443,50265425,RENTING is financially better,507982
"2 BHK Apartment in siddharth nagar, Mumbai",Mumbai,siddharth nagar,2,9207529.0,801.0,36312,92.08,0.115,2301882,6905647,53539,45404,1952555,29529793,28567868,BUYING is financially better,961925
"2 BHK Apartment in kotwal wadi, Bangalore",Bangalore,kotwal wadi,2,6234012.0,765.6,22373,62.34,0.0814,1558503,4675509,36249,28613,1832701,19993321,21021961,RENTING is financially better,1028640
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,7443487.0,865.0,26896,74.43,0.0861,1860872,5582615,43282,35353,1902947,23872271,24961999,RENTING is financially better,1089728
"3 BHK Apartment in kharalwadi, Bangalore",Bangalore,kharalwadi,3,10814681.0,1159.9,36611,108.15,0.0932,2703670,8111011,62885,54644,1977716,34684147,38140279,RENTING is financially better,3456132
"2 BHK Apartment in shree siddhivinayak meera, Bangalore",Bangalore,shree siddhivinayak meera,2,5676708.0,1439.2,19344,56.77,0.0394,1419177,4257531,33009,25575,1784050,18205972,19923979,RENTING is financially better,1718007
"4 BHK Apartment in andheri east, Mumbai",Mumbai,andheri east,4,17393167.0,1440.4,76295,173.93,0.1208,4348292,13044875,101137,92680,2029638,55782243,48117205,BUYING is financially better,7665038
"2 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,2,7433699.0,819.7,28111,74.34,0.0907,1858425,5575274,43225,35298,1902535,23840880,23979685,RENTING is financially better,138805
"3 BHK Apartment in jijai nagar, Bangalore",Bangalore,jijai nagar,3,5042818.0,706.5,24939,50.43,0.0714,1260704,3782114,29323,22195,1710567,16173000,11810224,BUYING is financially better,4362777
