Title,City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent,Gross_Rental_Yield_%,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
2 BHK Apartment in Borivali,Mumbai,Borivali,2 BHK,10000000.0,650.0,15384.615384615385,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
2 BHK Apartment in Powai,Mumbai,Powai,2 BHK,10000000.0,510.0,19607.843137254906,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
2 BHK Apartment in Goregaon,Mumbai,Goregaon,2 BHK,10000000.0,325.0,30769.23076923077,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
2 BHK Apartment in Malad,Mumbai,Malad,2 BHK,10000000.0,1750.0,5714.285714285715,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
2 BHK Apartment in Thane,Mumbai,Thane,2 BHK,10000000.0,900.0,11111.111111111111,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
2 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,2 BHK,10000000.0,550.0,18181.81818181818,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
3 BHK Apartment in Goregaon,Mumbai,Goregaon,3 BHK,10000000.0,325.0,30769.23076923077,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
3 BHK Apartment in Malad,Mumbai,Malad,3 BHK,10000000.0,1750.0,5714.285714285715,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,3 BHK,10000000.0,900.0,11111.111111111111,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,3 BHK,10000000.0,550.0,18181.81818181818,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,3 BHK,10000000.0,650.0,15384.615384615385,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,3 BHK,10000000.0,510.0,19607.843137254906,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
4 BHK Apartment in Thane,Mumbai,Thane,4 BHK,10000000.0,900.0,11111.111111111111,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
4 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,4 BHK,10000000.0,550.0,18181.81818181818,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
4 BHK Apartment in Kandivali,Mumbai,Kandivali,4 BHK,10000000.0,650.0,15384.615384615385,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
4 BHK Apartment in Chembur,Mumbai,Chembur,4 BHK,10000000.0,510.0,19607.843137254906,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
4 BHK Apartment in Andheri,Mumbai,Andheri,4 BHK,10000000.0,325.0,30769.23076923077,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
4 BHK Apartment in Bandra,Mumbai,Bandra,4 BHK,10000000.0,1750.0,5714.285714285715,30000.0,3.6,360000.0,108000.0,252000.0,2.52,2000000.0,8000000.0,69425.85866924273,833110.3040309128,-581110.3040309128,-29.05551520154564,-37.0
3 BHK Apartment in Goregaon,Mumbai,Goregaon,3 BHK,15000000.0,325.0,46153.84615384616,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
3 BHK Apartment in Malad,Mumbai,Malad,3 BHK,15000000.0,1750.0,8571.42857142857,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,3 BHK,15000000.0,900.0,16666.666666666668,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,3 BHK,15000000.0,550.0,27272.727272727272,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,3 BHK,15000000.0,650.0,23076.92307692308,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,3 BHK,15000000.0,510.0,29411.76470588236,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
4 BHK Apartment in Thane,Mumbai,Thane,4 BHK,15000000.0,900.0,16666.666666666668,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
4 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,4 BHK,15000000.0,550.0,27272.727272727272,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
4 BHK Apartment in Kandivali,Mumbai,Kandivali,4 BHK,15000000.0,650.0,23076.92307692308,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
4 BHK Apartment in Chembur,Mumbai,Chembur,4 BHK,15000000.0,510.0,29411.76470588236,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
4 BHK Apartment in Andheri,Mumbai,Andheri,4 BHK,15000000.0,325.0,46153.84615384616,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
4 BHK Apartment in Bandra,Mumbai,Bandra,4 BHK,15000000.0,1750.0,8571.42857142857,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
5 BHK Apartment in Kandivali,Mumbai,Kandivali,5 BHK,15000000.0,650.0,23076.92307692308,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
5 BHK Apartment in Chembur,Mumbai,Chembur,5 BHK,15000000.0,510.0,29411.76470588236,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
5 BHK Apartment in Andheri,Mumbai,Andheri,5 BHK,15000000.0,325.0,46153.84615384616,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
5 BHK Apartment in Bandra,Mumbai,Bandra,5 BHK,15000000.0,1750.0,8571.42857142857,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
5 BHK Apartment in Borivali,Mumbai,Borivali,5 BHK,15000000.0,900.0,16666.666666666668,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
5 BHK Apartment in Powai,Mumbai,Powai,5 BHK,15000000.0,550.0,27272.727272727272,45000.0,3.6,540000.0,162000.0,378000.0,2.52,3000000.0,12000000.0,104138.78800386409,1249665.456046369,-871665.4560463689,-29.055515201545628,-37.0
4 BHK Apartment in Thane,Mumbai,Thane,4 BHK,1000000000.0,900.0,1111111.111111111,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
4 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,4 BHK,1000000000.0,550.0,1818181.818181818,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
4 BHK Apartment in Kandivali,Mumbai,Kandivali,4 BHK,1000000000.0,650.0,1538461.5384615385,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
4 BHK Apartment in Chembur,Mumbai,Chembur,4 BHK,1000000000.0,510.0,1960784.31372549,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
4 BHK Apartment in Andheri,Mumbai,Andheri,4 BHK,1000000000.0,325.0,3076923.076923077,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
4 BHK Apartment in Bandra,Mumbai,Bandra,4 BHK,1000000000.0,1750.0,571428.5714285715,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
5 BHK Apartment in Kandivali,Mumbai,Kandivali,5 BHK,1000000000.0,650.0,1538461.5384615385,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
5 BHK Apartment in Chembur,Mumbai,Chembur,5 BHK,1000000000.0,510.0,1960784.31372549,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
5 BHK Apartment in Andheri,Mumbai,Andheri,5 BHK,1000000000.0,325.0,3076923.076923077,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
5 BHK Apartment in Bandra,Mumbai,Bandra,5 BHK,1000000000.0,1750.0,571428.5714285715,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
5 BHK Apartment in Borivali,Mumbai,Borivali,5 BHK,1000000000.0,900.0,1111111.111111111,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
5 BHK Apartment in Powai,Mumbai,Powai,5 BHK,1000000000.0,550.0,1818181.818181818,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
2 BHK Apartment in Andheri,Mumbai,Andheri,2 BHK,1000000000.0,325.0,3076923.076923077,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
2 BHK Apartment in Bandra,Mumbai,Bandra,2 BHK,1000000000.0,1750.0,571428.5714285715,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
2 BHK Apartment in Borivali,Mumbai,Borivali,2 BHK,1000000000.0,900.0,1111111.111111111,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
2 BHK Apartment in Powai,Mumbai,Powai,2 BHK,1000000000.0,550.0,1818181.818181818,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
2 BHK Apartment in Goregaon,Mumbai,Goregaon,2 BHK,1000000000.0,650.0,1538461.5384615385,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
1 BHK Apartment in Bandra,Mumbai,Bandra,1 BHK,1000000000.0,1750.0,571428.5714285715,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
1 BHK Apartment in Borivali,Mumbai,Borivali,1 BHK,1000000000.0,900.0,1111111.111111111,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
1 BHK Apartment in Powai,Mumbai,Powai,1 BHK,1000000000.0,550.0,1818181.818181818,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
1 BHK Apartment in Goregaon,Mumbai,Goregaon,1 BHK,1000000000.0,650.0,1538461.5384615385,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
1 BHK Apartment in Malad,Mumbai,Malad,1 BHK,1000000000.0,510.0,1960784.31372549,3000000.0,3.6,36000000.0,10800000.0,25200000.0,2.52,200000000.0,800000000.0,6942585.866924272,83311030.40309127,-58111030.40309127,-29.055515201545635,-37.0
5 BHK Apartment in Kandivali,Mumbai,Kandivali,5 BHK,1500000000.0,650.0,2307692.3076923075,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
5 BHK Apartment in Chembur,Mumbai,Chembur,5 BHK,1500000000.0,510.0,2941176.470588235,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
5 BHK Apartment in Andheri,Mumbai,Andheri,5 BHK,1500000000.0,325.0,4615384.615384615,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
5 BHK Apartment in Bandra,Mumbai,Bandra,5 BHK,1500000000.0,1750.0,857142.8571428572,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
5 BHK Apartment in Borivali,Mumbai,Borivali,5 BHK,1500000000.0,900.0,1666666.6666666667,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
5 BHK Apartment in Powai,Mumbai,Powai,5 BHK,1500000000.0,550.0,2727272.727272727,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
2 BHK Apartment in Andheri,Mumbai,Andheri,2 BHK,1500000000.0,325.0,4615384.615384615,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
2 BHK Apartment in Bandra,Mumbai,Bandra,2 BHK,1500000000.0,1750.0,857142.8571428572,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
2 BHK Apartment in Borivali,Mumbai,Borivali,2 BHK,1500000000.0,900.0,1666666.6666666667,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
2 BHK Apartment in Powai,Mumbai,Powai,2 BHK,1500000000.0,550.0,2727272.727272727,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
2 BHK Apartment in Goregaon,Mumbai,Goregaon,2 BHK,1500000000.0,650.0,2307692.3076923075,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
1 BHK Apartment in Bandra,Mumbai,Bandra,1 BHK,1500000000.0,1750.0,857142.8571428572,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
1 BHK Apartment in Borivali,Mumbai,Borivali,1 BHK,1500000000.0,900.0,1666666.6666666667,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
1 BHK Apartment in Powai,Mumbai,Powai,1 BHK,1500000000.0,550.0,2727272.727272727,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
1 BHK Apartment in Goregaon,Mumbai,Goregaon,1 BHK,1500000000.0,650.0,2307692.3076923075,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
1 BHK Apartment in Malad,Mumbai,Malad,1 BHK,1500000000.0,510.0,2941176.470588235,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
2 BHK Apartment in Malad,Mumbai,Malad,2 BHK,1500000000.0,510.0,2941176.470588235,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
2 BHK Apartment in Thane,Mumbai,Thane,2 BHK,1500000000.0,325.0,4615384.615384615,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
1 BHK Apartment in Thane,Mumbai,Thane,1 BHK,1500000000.0,325.0,4615384.615384615,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
1 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,1 BHK,1500000000.0,1750.0,857142.8571428572,4500000.0,3.6,54000000.0,16200000.0,37800000.0,2.52,300000000.0,1200000000.0,10413878.800386408,124966545.60463692,-87166545.60463691,-29.055515201545635,-37.0
2 BHK Apartment in Andheri,Mumbai,Andheri,2 BHK,2500000000.0,325.0,7692307.692307692,7500000.0,3.6,90000000.0,27000000.0,63000000.0,2.52,500000000.0,2000000000.0,17356464.66731068,208277576.00772816,-145277576.00772816,-29.055515201545635,-37.0
2 BHK Apartment in Bandra,Mumbai,Bandra,2 BHK,2500000000.0,1750.0,1428571.4285714286,7500000.0,3.6,90000000.0,27000000.0,63000000.0,2.52,500000000.0,2000000000.0,17356464.66731068,208277576.00772816,-145277576.00772816,-29.055515201545635,-37.0
2 BHK Apartment in Borivali,Mumbai,Borivali,2 BHK,2500000000.0,900.0,2777777.777777778,7500000.0,3.6,90000000.0,27000000.0,63000000.0,2.52,500000000.0,2000000000.0,17356464.66731068,208277576.00772816,-145277576.00772816,-29.055515201545635,-37.0
2 BHK Apartment in Powai,Mumbai,Powai,2 BHK,2500000000.0,550.0,4545454.545454546,7500000.0,3.6,90000000.0,27000000.0,63000000.0,2.52,500000000.0,2000000000.0,17356464.66731068,208277576.00772816,-145277576.00772816,-29.055515201545635,-37.0
2 BHK Apartment in Goregaon,Mumbai,Goregaon,2 BHK,2500000000.0,650.0,3846153.846153846,7500000.0,3.6,90000000.0,27000000.0,63000000.0,2.52,500000000.0,2000000000.0,17356464.66731068,208277576.00772816,-145277576.00772816,-29.055515201545635,-37.0
1 BHK Apartment in Bandra,Mumbai,Bandra,1 BHK,2500000000.0,1750.0,1428571.4285714286,7500000.0,3.6,90000000.0,27000000.0,63000000.0,2.52,500000000.0,2000000000.0,17356464.66731068,208277576.00772816,-145277576.00772816,-29.055515201545635,-37.0
1 BHK Apartment in Borivali,Mumbai,Borivali,1 BHK,2500000000.0,900.0,2777777.777777778,7500000.0,3.6,90000000.0,27000000.0,63000000.0,2.52,500000000.0,2000000000.0,17356464.66731068,208277576.00772816,-145277576.00772816,-29.055515201545635,-37.0
