Title,City,Location,Price_INR,Area_sqft,Bedrooms,Estimated_Monthly_Rent,Annual_Rent,Annual_Expenses,NOI,Cap_Rate_%,Down_Payment,Loan_Amount,Monthly_EMI,Annual_EMI,Annual_Cash_Flow,Cash_on_Cash_%,ROI_5_Year_%
3 BHK Apartment in Malad,Mumbai,Malad,9638000.0,10000 sqft,3 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,9638000.0,10000 sqft,3 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,9638000.0,10000 sqft,3 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,9638000.0,10000 sqft,3 BHK,28914.0,346968.0,104090.4,242877.6,2.52,1927600.0,7710400.0,66912.64258541614,802951.7110249936,-560074.1110249936,-29.055515201545628,-37.0
6 BHK Apartment in Bandra,Mumbai,Bandra,202000.0,10000 sqft,6 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
6 BHK Apartment in Borivali,Mumbai,Borivali,202000.0,10000 sqft,6 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
6 BHK Apartment in Powai,Mumbai,Powai,202000.0,10000 sqft,6 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
6 BHK Apartment in Goregaon,Mumbai,Goregaon,202000.0,10000 sqft,6 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
6 BHK Apartment in Malad,Mumbai,Malad,202000.0,10000 sqft,6 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
3 BHK Apartment in Borivali,Mumbai,Borivali,202000.0,10000 sqft,3 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
3 BHK Apartment in Powai,Mumbai,Powai,202000.0,10000 sqft,3 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
3 BHK Apartment in Goregaon,Mumbai,Goregaon,202000.0,10000 sqft,3 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
3 BHK Apartment in Malad,Mumbai,Malad,202000.0,10000 sqft,3 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,202000.0,10000 sqft,3 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,202000.0,10000 sqft,3 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,202000.0,10000 sqft,3 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,202000.0,10000 sqft,3 BHK,606.0,7272.0,2181.6,5090.4,2.5199999999999996,40400.0,161600.0,1402.4023451187031,16828.828141424437,-11738.428141424438,-29.05551520154564,-37.0
3 BHK Apartment in Borivali,Mumbai,Borivali,198000.0,10000 sqft,3 BHK,594.0,7128.0,2138.4,4989.6,2.52,39600.0,158400.0,1374.6320016510058,16495.58401981207,-11505.984019812071,-29.055515201545635,-37.0
3 BHK Apartment in Powai,Mumbai,Powai,198000.0,10000 sqft,3 BHK,594.0,7128.0,2138.4,4989.6,2.52,39600.0,158400.0,1374.6320016510058,16495.58401981207,-11505.984019812071,-29.055515201545635,-37.0
3 BHK Apartment in Goregaon,Mumbai,Goregaon,198000.0,10000 sqft,3 BHK,594.0,7128.0,2138.4,4989.6,2.52,39600.0,158400.0,1374.6320016510058,16495.58401981207,-11505.984019812071,-29.055515201545635,-37.0
3 BHK Apartment in Malad,Mumbai,Malad,198000.0,10000 sqft,3 BHK,594.0,7128.0,2138.4,4989.6,2.52,39600.0,158400.0,1374.6320016510058,16495.58401981207,-11505.984019812071,-29.055515201545635,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,198000.0,10000 sqft,3 BHK,594.0,7128.0,2138.4,4989.6,2.52,39600.0,158400.0,1374.6320016510058,16495.58401981207,-11505.984019812071,-29.055515201545635,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,198000.0,10000 sqft,3 BHK,594.0,7128.0,2138.4,4989.6,2.52,39600.0,158400.0,1374.6320016510058,16495.58401981207,-11505.984019812071,-29.055515201545635,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,198000.0,10000 sqft,3 BHK,594.0,7128.0,2138.4,4989.6,2.52,39600.0,158400.0,1374.6320016510058,16495.58401981207,-11505.984019812071,-29.055515201545635,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,198000.0,10000 sqft,3 BHK,594.0,7128.0,2138.4,4989.6,2.52,39600.0,158400.0,1374.6320016510058,16495.58401981207,-11505.984019812071,-29.055515201545635,-37.0
3 BHK Apartment in Andheri,Mumbai,Andheri,198000.0,10000 sqft,3 BHK,594.0,7128.0,2138.4,4989.6,2.52,39600.0,158400.0,1374.6320016510058,16495.58401981207,-11505.984019812071,-29.055515201545635,-37.0
3 BHK Apartment in Powai,Mumbai,Powai,150000.0,10000 sqft,3 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
3 BHK Apartment in Goregaon,Mumbai,Goregaon,150000.0,10000 sqft,3 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
3 BHK Apartment in Malad,Mumbai,Malad,150000.0,10000 sqft,3 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,150000.0,10000 sqft,3 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,150000.0,10000 sqft,3 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,150000.0,10000 sqft,3 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,150000.0,10000 sqft,3 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
3 BHK Apartment in Andheri,Mumbai,Andheri,150000.0,10000 sqft,3 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
4 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,150000.0,10000 sqft,4 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
4 BHK Apartment in Kandivali,Mumbai,Kandivali,150000.0,10000 sqft,4 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
4 BHK Apartment in Chembur,Mumbai,Chembur,150000.0,10000 sqft,4 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
4 BHK Apartment in Andheri,Mumbai,Andheri,150000.0,10000 sqft,4 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
4 BHK Apartment in Bandra,Mumbai,Bandra,150000.0,10000 sqft,4 BHK,450.0,5400.0,1620.0,3780.0,2.52,30000.0,120000.0,1041.3878800386408,12496.654560463689,-8716.654560463689,-29.055515201545628,-37.0
3 BHK Apartment in Goregaon,Mumbai,Goregaon,235000.0,10000 sqft,3 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
3 BHK Apartment in Malad,Mumbai,Malad,235000.0,10000 sqft,3 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,235000.0,10000 sqft,3 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,235000.0,10000 sqft,3 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,235000.0,10000 sqft,3 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,235000.0,10000 sqft,3 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
3 BHK Apartment in Andheri,Mumbai,Andheri,235000.0,10000 sqft,3 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
4 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,235000.0,10000 sqft,4 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
4 BHK Apartment in Kandivali,Mumbai,Kandivali,235000.0,10000 sqft,4 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
4 BHK Apartment in Chembur,Mumbai,Chembur,235000.0,10000 sqft,4 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
4 BHK Apartment in Andheri,Mumbai,Andheri,235000.0,10000 sqft,4 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
4 BHK Apartment in Bandra,Mumbai,Bandra,235000.0,10000 sqft,4 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
3 BHK Apartment in Bandra,Mumbai,Bandra,235000.0,10000 sqft,3 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
3 BHK Apartment in Borivali,Mumbai,Borivali,235000.0,10000 sqft,3 BHK,705.0,8460.0,2538.0,5922.0,2.52,47000.0,188000.0,1631.5076787272042,19578.092144726448,-13656.092144726448,-29.055515201545635,-37.0
3 BHK Apartment in Malad,Mumbai,Malad,9800000.0,10000 sqft,3 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,9800000.0,10000 sqft,3 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,9800000.0,10000 sqft,3 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,9800000.0,10000 sqft,3 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,9800000.0,10000 sqft,3 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
3 BHK Apartment in Andheri,Mumbai,Andheri,9800000.0,10000 sqft,3 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
4 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,9800000.0,10000 sqft,4 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
4 BHK Apartment in Kandivali,Mumbai,Kandivali,9800000.0,10000 sqft,4 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
4 BHK Apartment in Chembur,Mumbai,Chembur,9800000.0,10000 sqft,4 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
4 BHK Apartment in Andheri,Mumbai,Andheri,9800000.0,10000 sqft,4 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
4 BHK Apartment in Bandra,Mumbai,Bandra,9800000.0,10000 sqft,4 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
3 BHK Apartment in Bandra,Mumbai,Bandra,9800000.0,10000 sqft,3 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
3 BHK Apartment in Borivali,Mumbai,Borivali,9800000.0,10000 sqft,3 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
5 BHK Apartment in Chembur,Mumbai,Chembur,9800000.0,10000 sqft,5 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
5 BHK Apartment in Andheri,Mumbai,Andheri,9800000.0,10000 sqft,5 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
5 BHK Apartment in Bandra,Mumbai,Bandra,9800000.0,10000 sqft,5 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
5 BHK Apartment in Borivali,Mumbai,Borivali,9800000.0,10000 sqft,5 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
5 BHK Apartment in Powai,Mumbai,Powai,9800000.0,10000 sqft,5 BHK,29400.0,352800.0,105840.0,246960.0,2.52,1960000.0,7840000.0,68037.34149585787,816448.0979502944,-569488.0979502944,-29.055515201545635,-37.0
3 BHK Apartment in Thane,Mumbai,Thane,408000.0,10000 sqft,3 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
3 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,408000.0,10000 sqft,3 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,408000.0,10000 sqft,3 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,408000.0,10000 sqft,3 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
3 BHK Apartment in Andheri,Mumbai,Andheri,408000.0,10000 sqft,3 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
4 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,408000.0,10000 sqft,4 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
4 BHK Apartment in Kandivali,Mumbai,Kandivali,408000.0,10000 sqft,4 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
4 BHK Apartment in Chembur,Mumbai,Chembur,408000.0,10000 sqft,4 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
4 BHK Apartment in Andheri,Mumbai,Andheri,408000.0,10000 sqft,4 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
4 BHK Apartment in Bandra,Mumbai,Bandra,408000.0,10000 sqft,4 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
3 BHK Apartment in Bandra,Mumbai,Bandra,408000.0,10000 sqft,3 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
3 BHK Apartment in Borivali,Mumbai,Borivali,408000.0,10000 sqft,3 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
5 BHK Apartment in Chembur,Mumbai,Chembur,408000.0,10000 sqft,5 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
5 BHK Apartment in Andheri,Mumbai,Andheri,408000.0,10000 sqft,5 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
5 BHK Apartment in Bandra,Mumbai,Bandra,408000.0,10000 sqft,5 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
5 BHK Apartment in Borivali,Mumbai,Borivali,408000.0,10000 sqft,5 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
5 BHK Apartment in Powai,Mumbai,Powai,408000.0,10000 sqft,5 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
5 BHK Apartment in Goregaon,Mumbai,Goregaon,408000.0,10000 sqft,5 BHK,1224.0,14688.0,4406.4,10281.6,2.52,81600.0,326400.0,2832.575033705103,33990.90040446124,-23709.30040446124,-29.055515201545635,-37.0
4 BHK Apartment in Navi Mumbai,Mumbai,Navi Mumbai,742000.0,10000 sqft,4 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
4 BHK Apartment in Kandivali,Mumbai,Kandivali,742000.0,10000 sqft,4 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
4 BHK Apartment in Chembur,Mumbai,Chembur,742000.0,10000 sqft,4 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
4 BHK Apartment in Andheri,Mumbai,Andheri,742000.0,10000 sqft,4 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
4 BHK Apartment in Bandra,Mumbai,Bandra,742000.0,10000 sqft,4 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
3 BHK Apartment in Kandivali,Mumbai,Kandivali,742000.0,10000 sqft,3 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
3 BHK Apartment in Chembur,Mumbai,Chembur,742000.0,10000 sqft,3 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
3 BHK Apartment in Andheri,Mumbai,Andheri,742000.0,10000 sqft,3 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
3 BHK Apartment in Bandra,Mumbai,Bandra,742000.0,10000 sqft,3 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
3 BHK Apartment in Borivali,Mumbai,Borivali,742000.0,10000 sqft,3 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
5 BHK Apartment in Chembur,Mumbai,Chembur,742000.0,10000 sqft,5 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
5 BHK Apartment in Andheri,Mumbai,Andheri,742000.0,10000 sqft,5 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
5 BHK Apartment in Bandra,Mumbai,Bandra,742000.0,10000 sqft,5 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
5 BHK Apartment in Borivali,Mumbai,Borivali,742000.0,10000 sqft,5 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
5 BHK Apartment in Powai,Mumbai,Powai,742000.0,10000 sqft,5 BHK,2226.0,26712.0,8013.599999999999,18698.4,2.5200000000000005,148400.0,593600.0,5151.39871325781,61816.78455909372,-43118.38455909372,-29.055515201545635,-37.0
