City,Title,Location,Bedrooms,Price (Lakhs),Area (sqft),Price per sqft,Rent (INR/month),Property Type,Posted By,Furnishing,Possession
Bangalore,2 BHK Apartment in Banashankari,Banashankari,2 BHK,81.38,686,11862.97,16047,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Bommanahalli,Bommanahalli,3 BHK,81.85,698,11726.36,19874,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in HSR Layout,HSR Layout,2 BHK,82.36,1696,4856.13,20241,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Kasavanahalli,Kasavanahalli,2 BHK,82.58,1533,5386.82,18388,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Malleshwaram,Malleshwaram,2 BHK,83.09,1574,5278.91,16327,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Kasavanahalli,Kasavanahalli,3 BHK,84.08,661,12720.12,18105,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Yelahanka,Yelahanka,2 BHK,85.28,1471,5797.42,19603,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Hennur,Hennur,2 BHK,85.31,1139,7489.9,18207,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in BTM Layout,BTM Layout,2 BHK,85.6,1161,7372.95,15116,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in BTM Layout,BTM Layout,3 BHK,86.23,654,13185.02,16750,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,2 BHK,86.48,1695,5102.06,18872,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,1 BHK Apartment in Hoodi,Hoodi,1 BHK,86.74,1191,7282.96,17945,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,1 BHK Apartment in Electronic City,Electronic City,1 BHK,86.87,1164,7463.06,20786,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Kasavanahalli,Kasavanahalli,2 BHK,87.17,1093,7975.3,17065,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,1 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,1 BHK,87.93,1135,7747.14,21057,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hennur,Hennur,2 BHK,88.13,1478,5962.79,16458,Apartment,Builder,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Bommanahalli,Bommanahalli,2 BHK,89.28,1557,5734.1,19188,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,2 BHK,90.17,1106,8152.8,22021,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hennur,Hennur,2 BHK,90.6,1721,5264.38,17597,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,2 BHK,90.66,1478,6133.96,16399,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Hebbal,Hebbal,1 BHK,90.92,1199,7582.99,20549,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Electronic City,Electronic City,2 BHK,91.4,1124,8131.67,20104,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in BTM Layout,BTM Layout,2 BHK,91.59,1532,5978.46,17412,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Indiranagar,Indiranagar,1 BHK,91.59,1181,7755.29,21691,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in HSR Layout,HSR Layout,3 BHK,91.81,647,14190.11,17935,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in HSR Layout,HSR Layout,2 BHK,92.24,1558,5920.41,19282,Apartment,Owner,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,3 BHK,92.56,706,13110.48,17695,Apartment,Builder,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Koramangala,Koramangala,2 BHK,92.83,1670,5558.68,19295,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Bommanahalli,Bommanahalli,2 BHK,93.17,1095,8508.68,21300,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Hennur,Hennur,3 BHK,94.47,690,13691.3,19253,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hoodi,Hoodi,2 BHK,94.98,1633,5816.29,20138,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in HSR Layout,HSR Layout,1 BHK,95.01,1124,8452.85,19384,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hoodi,Hoodi,2 BHK,95.15,1557,6111.11,17048,Apartment,Owner,Unfurnished,Under Construction
Bangalore,1 BHK Apartment in HSR Layout,HSR Layout,1 BHK,95.29,1430,6663.64,20913,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Whitefield,Whitefield,2 BHK,95.43,1600,5964.38,17802,Apartment,Builder,Unfurnished,Under Construction
Bangalore,1 BHK Apartment in Whitefield,Whitefield,1 BHK,95.62,1194,8008.38,19648,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,1 BHK Apartment in Jayanagar,Jayanagar,1 BHK,95.68,1509,6340.62,22946,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Koramangala,Koramangala,3 BHK,95.79,691,13862.52,19227,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Kasavanahalli,Kasavanahalli,2 BHK,95.89,1641,5843.39,18192,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,95.94,1100,8721.82,19420,Apartment,Builder,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Malleshwaram,Malleshwaram,3 BHK,96.46,645,14955.04,18406,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Bommanahalli,Bommanahalli,2 BHK,96.61,1638,5898.05,19662,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Jayanagar,Jayanagar,2 BHK,96.75,1178,8213.07,20875,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Malleshwaram,Malleshwaram,2 BHK,97,1592,6092.96,18218,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Koramangala,Koramangala,2 BHK,97.23,1189,8177.46,21852,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,1 BHK Apartment in Koramangala,Koramangala,1 BHK,97.41,1189,8192.6,18960,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Hebbal,Hebbal,2 BHK,97.66,1187,8227.46,19528,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,98.04,1718,5706.64,17141,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in HSR Layout,HSR Layout,2 BHK,100.2,1190,8420.17,21464,Apartment,Builder,Unfurnished,Under Construction
Bangalore,1 BHK Apartment in Kasavanahalli,Kasavanahalli,1 BHK,100.44,1198,8383.97,18916,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Bommanahalli,Bommanahalli,1 BHK,100.58,1174,8567.29,21359,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Whitefield,Whitefield,2 BHK,101.97,1176,8670.92,19885,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,1 BHK Apartment in Banashankari,Banashankari,1 BHK,102.68,1525,6733.11,22578,Apartment,Owner,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Kasavanahalli,Kasavanahalli,2 BHK,104.33,1180,8841.53,19730,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,1 BHK Apartment in JP Nagar,JP Nagar,1 BHK,105.16,1431,7348.71,20143,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,1 BHK Apartment in Indiranagar,Indiranagar,1 BHK,105.44,1496,7048.13,20360,Apartment,Builder,Semi-Furnished,Under Construction
