title,city,location,bedrooms,price_inr,area_sqft,price_per_sqft,estimated_monthly_rent
3 BHK Apartment in ,Dudulgaon,,3,4847000,1329,3647.1,19388
2 BHK Apartment in,Bangalore,,2,7290570,672.4,8670.89,24459
4 BHK Apartment in,Mumbai,,4,17736027,1334.2,7402.51,65955
2 BHK Apartment in,Bangalore,,2,10954379,1211.8,2720.72,53236
3 BHK Apartment in,Bangalore,,3,6916201,744.5,9561.45,26085
3 BHK Apartment in Bhumkar Nagar,Bangalore,Bhumkar Nagar,3,8702642,933.1,7077.44,29046
4 BHK Apartment in Hinjawadi Phase 1,Mumbai,Hinjawadi Phase 1,4,14641667,1396.6,8982.93,54023
3 BHK Apartment in Chovisawadi,Mumbai,Chovisawadi,3,9123340,873.7,6098.66,37121
3 BHK Apartment in Malwadi,Mumbai,Malwadi,3,11575407,1082,7294.62,51612
2 BHK Apartment in Dhayari Phata,Mumbai,Dhayari Phata,2,4377845,1290.4,2750.79,14634
5 BHK Apartment in ,Pashan,,5,21000000,1382,15195.37,84000
3 BHK Apartment in Gujrat Colony,Mumbai,Gujrat Colony,3,3409922,860.3,18819.19,14325
4 BHK Apartment in,Bangalore,,4,33896122,1625.7,7360.74,121219
4 BHK Apartment in Alkapuri Society,Mumbai,Alkapuri Society,4,35666519,1406.3,16738.51,146766
4 BHK Apartment in Jadhav Nagar,Mumbai,Jadhav Nagar,4,11324861,1154.4,14554.67,46387
3 BHK Apartment in,Bangalore,,3,8272406,1180.1,7636.14,37450
3 BHK Apartment in Dattwadi,Bangalore,Dattwadi,3,3002184,1272.2,7522.98,12250
3 BHK Apartment in,Bangalore,,3,23455646,1240.3,3734.3,103887
3 BHK Apartment in,Bangalore,,3,17138810,822.3,9466.02,61350
4 BHK Apartment in Ganga Nagar,Bangalore,Ganga Nagar,4,21695385,1377.4,8111.79,86533
3 BHK Apartment in,Bangalore,,3,7443801,878.7,7875,24827
4 BHK Apartment in Shankar Kalat Nagar,Bangalore,Shankar Kalat Nagar,4,13285238,1414.4,19621.58,50121
4 BHK Apartment in Dattwadi,Mumbai,Dattwadi,4,18392090,1357,7253.46,64654
4 BHK Apartment in Shankar Kalat Nagar,Mumbai,Shankar Kalat Nagar,4,16367813,1611.5,19621.58,71634
4 BHK Apartment in,Bangalore,,4,27518877,1299.5,13652.61,111781
4 BHK Apartment in,Bangalore,,4,10869634,1367.3,7402.51,44750
3 BHK Apartment in,Bangalore,,3,2295663,783.8,9423.51,9972
3 BHK Apartment in Shankar Kalat Nagar,Bangalore,Shankar Kalat Nagar,3,13779609,1498,7172.13,62995
3 BHK Apartment in ,Dudulgaon,,3,5639000,760,7419.74,22556
4 BHK Apartment in,Bangalore,,4,9219876,1220.4,13815.32,41102
3 BHK Apartment in Udhyog Nagar,Mumbai,Udhyog Nagar,3,3766570,988.6,19634.15,13120
3 BHK Apartment in Malwadi,Mumbai,Malwadi,3,37574495,1236.7,7294.62,141229
2 BHK Apartment in,Mumbai,,2,17398722,1414.3,6609.97,58060
4 BHK Apartment in ,Baner,,4,19300000,1397,13815.32,77200
2 BHK Apartment in,Bangalore,,2,9781053,1454.3,3634.31,43664
3 BHK Apartment in ,Kiwale,,3,4226000,1491,2834.34,16904
3 BHK Apartment in Hinjawadi Phase 1,Hinjawadi,Hinjawadi Phase 1,3,8000000,904,8849.56,32000
2 BHK Apartment in Urit Nagar,Mumbai,Urit Nagar,2,25803083,1113.8,7642.79,88023
3 BHK Apartment in Kaspate Wasti,Mumbai,Kaspate Wasti,3,16176658,1447.7,7172.13,71030
3 BHK Apartment in,Mumbai,,3,24691342,1123.3,2363.93,92512
3 BHK Apartment in,Mumbai,,3,30398176,1308.5,6742.49,118664
3 BHK Apartment in Hills & Dales,Mumbai,Hills & Dales,3,9054432,750.6,8558.49,34955
4 BHK Apartment in,Mumbai,,4,15391646,1433,13815.32,55764
2 BHK Apartment in Dattwadi,Bangalore,Dattwadi,2,9983755,738.8,7554.12,48705
3 BHK Apartment in,Mumbai,,3,30177636,1079.3,7122.36,103305
2 BHK Apartment in Hills & Dales,Mumbai,Hills & Dales,2,9368712,920.2,7656.01,37666
3 BHK Apartment in,Mumbai,,3,7184890,730.8,7661.56,28809
3 BHK Apartment in,Mumbai,,3,14016200,1428.5,6948.36,59210
4 BHK Apartment in Dattwadi,Bangalore,Dattwadi,4,22425988,1241.3,7757.65,103370
3 BHK Apartment in EON Free Zone,Mumbai,EON Free Zone,3,9358799,884,18083.96,36746
2 BHK Apartment in Dattwadi,Bangalore,Dattwadi,2,2129666,755.8,7991.01,9096
4 BHK Apartment in Kotwal Nagar,Kiwale,Kotwal Nagar,4,8066000,804,10032.34,32264
5 BHK Apartment in,Mumbai,,5,9915408,1087.8,18328.65,45526
4 BHK Apartment in,Bangalore,,4,9971229,1368.4,7307.01,43067
3 BHK Apartment in MIDC,Mumbai,MIDC,3,12148479,828.5,7380.76,39177
4 BHK Apartment in Chovisawadi,Mumbai,Chovisawadi,4,30933680,1699.3,2741.66,139528
3 BHK Apartment in Laxmi Nagar,Bangalore,Laxmi Nagar,3,2306005,802.8,7334.65,8892
3 BHK Apartment in Kotwal Nagar,Bangalore,Kotwal Nagar,3,13423904,1513.9,13137.11,57002
3 BHK Apartment in,Mumbai,,3,15619390,1291.6,2489.09,57357
3 BHK Apartment in Dattwadi,Mumbai,Dattwadi,3,9789876,904.1,8849.56,33971
4 BHK Apartment in Nilanjali Society,Kalyani Nagar,Nilanjali Society,4,29900000,1427,20953.05,119600
4 BHK Apartment in ,Tathawade,,4,8009000,904,8859.51,32036
3 BHK Apartment in,Mumbai,,3,5283647,1154,7265.79,22718
4 BHK Apartment in Rakshak Nagar,Kharadi,Rakshak Nagar,4,9765000,1364,7159.09,39060
3 BHK Apartment in ,Sus,,3,3684000,1474,2499.32,14736
4 BHK Apartment in Chovisawadi,Mumbai,Chovisawadi,4,14902895,1166.5,2741.66,57234
3 BHK Apartment in Dattwadi,Bangalore,Dattwadi,3,7119150,844.2,10264.15,25452
3 BHK Apartment in,Mumbai,,3,13917201,1072.2,7253.46,51234
3 BHK Apartment in,Bangalore,,3,3996468,1118.5,7000.85,15203
4 BHK Apartment in Shankar Kalat Nagar,Mumbai,Shankar Kalat Nagar,4,20357743,1673.6,19621.58,80644
4 BHK Apartment in Hinjawadi Phase 1,Mumbai,Hinjawadi Phase 1,4,14623032,1526,7323.57,58403
3 BHK Apartment in,Mumbai,,3,9782299,868.5,9366.31,35239
3 BHK Apartment in,Mumbai,,3,13785044,1169.4,7265.79,62571
4 BHK Apartment in Nilanjali Society,Kalyani Nagar,Nilanjali Society,4,28100000,1427,19691.66,112400
3 BHK Apartment in,Mumbai,,3,14779008,1274.1,2363.93,53758
3 BHK Apartment in MIDC,Mumbai,MIDC,3,7351424,710.9,7380.76,24980
2 BHK Apartment in ,Bhukum,,2,3322000,1221,2720.72,13288
3 BHK Apartment in Khese Park,Mumbai,Khese Park,3,8695901,849.1,7938.35,34781
4 BHK Apartment in Ganga Nagar,Bangalore,Ganga Nagar,4,22159474,1341.8,8111.79,92258
2 BHK Apartment in Kotwal Wadi,Bangalore,Kotwal Wadi,2,9726758,1278.1,2612.8,41086
3 BHK Apartment in,Bangalore,,3,5890576,794.4,9560.72,23375
2 BHK Apartment in,Bangalore,,2,15640226,733.5,7779.35,68074
2 BHK Apartment in Hadapsar Industrial Estate,Bangalore,Hadapsar Industrial Estate,2,2790488,873.8,9179.16,9483
3 BHK Apartment in,Bangalore,,3,7701182,878.6,9363.21,32643
4 BHK Apartment in,Bangalore,,4,21450846,1262.2,8374.04,90537
3 BHK Apartment in Dattwadi,Mumbai,Dattwadi,3,6779098,763.2,9560.72,29520
3 BHK Apartment in Wadmukhwadi,Mumbai,Wadmukhwadi,3,12403788,1084.2,2792.79,44422
3 BHK Apartment in Sasane Nagar,Bangalore,Sasane Nagar,3,17031806,711.5,7402.31,69690
3 BHK Apartment in,Bangalore,,3,16680098,821.9,9423.51,67134
3 BHK Apartment in Laxmi Nagar,Bangalore,Laxmi Nagar,3,8928198,807.8,8394.74,32651
3 BHK Apartment in,Mumbai,,3,16815346,1255,7000.85,57616
3 BHK Apartment in Koregaon Park Annexe,Bangalore,Koregaon Park Annexe,3,11702009,869.5,14712.39,52198
2 BHK Apartment in,Mumbai,,2,13019585,1148.4,2720.72,52567
3 BHK Apartment in,Bangalore,,3,8974017,1152.8,6742.49,35925
3 BHK Apartment in,Mumbai,,3,9020894,767.9,13191.49,32951
4 BHK Apartment in Lalit Estate,Baner,Lalit Estate,4,13000000,923,14084.51,52000
3 BHK Apartment in Mohan Nagar Co-Op Society,Mumbai,Mohan Nagar Co-Op Society,3,32732970,1535.2,7237.72,120628
4 BHK Apartment in Hinjawadi Phase 1,Mumbai,Hinjawadi Phase 1,4,23465289,1647.4,7323.57,80394
3 BHK Apartment in Shankar Kalat Nagar,Bangalore,Shankar Kalat Nagar,3,10350887,1262.1,7169.98,36462
3 BHK Apartment in,Mumbai,,3,6822527,743.3,7729.25,31532
3 BHK Apartment in,Bangalore,,3,10917531,1298.8,7360.74,44631
3 BHK Apartment in MIDC,Bangalore,MIDC,3,13409610,1649.6,2656.21,54609
3 BHK Apartment in,Mumbai,,3,2915099,893.6,19634.15,12508
3 BHK Apartment in Alkapuri Society,Mumbai,Alkapuri Society,3,11489445,1225.9,7811.45,47210
5 BHK Apartment in,Bangalore,,5,11900803,1277.9,15529.75,49452
2 BHK Apartment in Wadmukhwadi,Mumbai,Wadmukhwadi,2,35752701,1608.3,2532.67,128468
2 BHK Apartment in Palace Orchard,Mumbai,Palace Orchard,2,13958145,1195.1,7419.15,51933
3 BHK Apartment in Laxmi Nagar,Bangalore,Laxmi Nagar,3,6474043,788.7,8394.74,26739
3 BHK Apartment in Atul Nagar,Bangalore,Atul Nagar,3,23747348,1262,7306.27,95557
3 BHK Apartment in EON Free Zone,Kharadi,EON Free Zone,3,16800000,929,18083.96,67200
3 BHK Apartment in,Bangalore,,3,9455511,1087.4,2363.93,35434
2 BHK Apartment in,Mumbai,,2,7472364,732.7,9361.79,31479
3 BHK Apartment in Saint Tukaram Nagar,Bangalore,Saint Tukaram Nagar,3,6674182,720.4,7375.49,26102
4 BHK Apartment in,Bangalore,,4,5834421,1534.1,7238.23,22689
3 BHK Apartment in Munjaba Vasti,Mumbai,Munjaba Vasti,3,8183994,802.4,8363.86,31774
3 BHK Apartment in Bellagio,Mumbai,Bellagio,3,10582249,830.1,7545.1,35051
3 BHK Apartment in Deccan Hills,Vadgaon,Deccan Hills,3,9918000,1315,7542.21,39672
3 BHK Apartment in Hinjawadi Phase 1,Bangalore,Hinjawadi Phase 1,3,6919764,772.4,8929.65,28187
2 BHK Apartment in,Mumbai,,2,4585912,1168.1,2660.39,17098
4 BHK Apartment in Vishal Nagar,Bangalore,Vishal Nagar,4,10071030,1396.1,7238.23,47086
3 BHK Apartment in,Mumbai,,3,20443456,1300.7,6818.18,77662
2 BHK Apartment in Ramya Nagari,Bangalore,Ramya Nagari,2,22478369,1617.3,7043.73,109173
3 BHK Apartment in Nilanjali Society,Bangalore,Nilanjali Society,3,9674037,1172.4,15364.12,40208
4 BHK Apartment in Baner Gaon,Baner,Baner Gaon,4,22900000,1392,16451.15,91600
3 BHK Apartment in,Bangalore,,3,4095150,1135.9,7260.8,18986
3 BHK Apartment in,Bangalore,,3,9283560,1443,6720,43344
3 BHK Apartment in,Bangalore,,3,5322159,661.1,7904.64,22502
4 BHK Apartment in Kotwal Nagar,Bangalore,Kotwal Nagar,4,8927344,1301.9,7505.81,36076
3 BHK Apartment in,Bangalore,,3,3691659,1459.6,3031.31,14132
3 BHK Apartment in,Mumbai,,3,8993042,797.9,13191.49,33993
3 BHK Apartment in ,Wagholi,,3,4800000,1346,3566.12,19200
4 BHK Apartment in,Bangalore,,4,12384629,1309.4,6596.53,47907
3 BHK Apartment in,Mumbai,,3,10749880,958.5,14084.51,41143
3 BHK Apartment in,Bangalore,,3,5376619,663.9,8428.57,20792
3 BHK Apartment in,Bangalore,,3,14068731,1447.5,3566.12,56092
3 BHK Apartment in Munjaba Vasti,Dhanori,Munjaba Vasti,3,6666000,797,8363.86,26664
4 BHK Apartment in Nilanjali Society,Kalyani Nagar,Nilanjali Society,4,35000000,868,40322.58,140000
3 BHK Apartment in Anand Park Nagar,Bangalore,Anand Park Nagar,3,22005050,1289.8,6696.67,90249
3 BHK Apartment in Malwadi,Bangalore,Malwadi,3,10121135,1175.9,7294.62,41167
3 BHK Apartment in,Mumbai,,3,13429143,1096.3,7419.62,49361
3 BHK Apartment in Saint Tukaram Nagar,Bangalore,Saint Tukaram Nagar,3,22965926,1264.7,3422.85,101367
3 BHK Apartment in Laxmi Nagar,Bangalore,Laxmi Nagar,3,2822196,906.1,7334.65,11003
1 BHK Apartment in Swaraj Nagari,Mumbai,Swaraj Nagari,1,11530939,1133,1863.49,53508
2 BHK Apartment in ,Hinjawadi Phase 3,,2,6694000,798,8388.47,26776
3 BHK Apartment in MIDC,Mumbai,MIDC,3,8452585,724.6,7380.76,29919
4 BHK Apartment in Magarpatta City,Bangalore,Magarpatta City,4,14747421,1512.9,18920.81,55899
3 BHK Apartment in Laxmi Nagar,Dhanori,Laxmi Nagar,3,6699000,798,8394.74,26796
2 BHK Apartment in Laxmi Nagar,Bangalore,Laxmi Nagar,2,7203495,851.9,8069.23,27621
3 BHK Apartment in Mohan Nagar Co-Op Society,Bangalore,Mohan Nagar Co-Op Society,3,28503920,1555.7,8016.3,102760
3 BHK Apartment in Kalubai Nagar,Bangalore,Kalubai Nagar,3,15450906,800.5,8314.14,64881
3 BHK Apartment in Kumar Samrudhi Society,Bangalore,Kumar Samrudhi Society,3,10206304,1504,7651.11,39467
2 BHK Apartment in Laxmi Vihar,Hadapsar,Laxmi Vihar,2,5227000,694,7531.7,20908
3 BHK Apartment in,Mumbai,,3,9362372,1029.4,8632.95,40370
3 BHK Apartment in Shankar Kalat Nagar,Mumbai,Shankar Kalat Nagar,3,45684066,1596.1,7169.98,144482
2 BHK Apartment in,Mumbai,,2,7223019,715.9,8675.95,30103
3 BHK Apartment in,Mumbai,,3,14049258,648.5,8554.16,50806
2 BHK Apartment in Kotwal Nagar,Bangalore,Kotwal Nagar,2,31450245,1402.7,2497.29,128587
3 BHK Apartment in,Mumbai,,3,2943291,767.4,17567.57,10269
4 BHK Apartment in Dattwadi,Bangalore,Dattwadi,4,16805366,1627.3,2916.83,67749
4 BHK Apartment in Ram Nagar,Mumbai,Ram Nagar,4,14793697,1442.7,7172.13,53942
2 BHK Apartment in Dhayari Phata,Bangalore,Dhayari Phata,2,29935467,1370,2717.62,114751
3 BHK Apartment in Deccan Hills,Bangalore,Deccan Hills,3,20056612,1183.6,7542.21,78895
4 BHK Apartment in Magarpatta City,Bangalore,Magarpatta City,4,26260698,1348.7,7172.19,103219
3 BHK Apartment in,Bangalore,,3,5529994,726.6,7643.22,21251
3 BHK Apartment in,Mumbai,,3,21756704,935.7,9366.31,84073
3 BHK Apartment in Yashwant Nagar,Bangalore,Yashwant Nagar,3,14594770,1468.3,2523.43,48770
3 BHK Apartment in,Mumbai,,3,11663185,975,8665.82,44169
3 BHK Apartment in,Mumbai,,3,28411407,1141.9,7417.15,112516
3 BHK Apartment in,Mumbai,,3,13493832,1202.7,7481.48,47748
3 BHK Apartment in Rakshak Nagar,Bangalore,Rakshak Nagar,3,10309408,1033.5,7585.89,41888
3 BHK Apartment in,Mumbai,,3,18665640,1584.5,3031.31,65212
3 BHK Apartment in,Mumbai,,3,15663787,1406.2,2834.34,60837
3 BHK Apartment in Saint Tukaram Nagar,Bangalore,Saint Tukaram Nagar,3,10487954,759,7375.49,47359
3 BHK Apartment in,Bangalore,,3,10781457,1236.1,7481.48,37131
3 BHK Apartment in Bhumkar Nagar,Mumbai,Bhumkar Nagar,3,15741581,1242.4,7077.44,56469
3 BHK Apartment in MIDC,Bangalore,MIDC,3,17404383,1751.3,3505.54,64487
3 BHK Apartment in Ram Nagar,Bangalore,Ram Nagar,3,2721995,1106.1,6728.16,12551
3 BHK Apartment in,Bangalore,,3,8008957,793.5,8612.5,30054
3 BHK Apartment in Magarpatta City,Bangalore,Magarpatta City,3,7325792,855.4,8647.73,26773
2 BHK Apartment in Shree Siddhivinayak Meera,Mumbai,Shree Siddhivinayak Meera,2,31138989,1254.1,2746.93,137741
5 BHK Apartment in,Mumbai,,5,15257958,1497,15195.37,59481
3 BHK Apartment in Laxmi Nagar,Mumbai,Laxmi Nagar,3,10369663,801.3,7824.81,41890
2 BHK Apartment in Shani Nagar,Mumbai,Shani Nagar,2,8082933,939.7,7792.33,36627
3 BHK Apartment in,Mumbai,,3,8504621,787.6,8675.95,32983
4 BHK Apartment in Jai Bhavani Nagar,Pashan,Jai Bhavani Nagar,4,12000000,1433,8374.04,48000
3 BHK Apartment in Laxmi Vihar,Mumbai,Laxmi Vihar,3,7655237,749.3,7631.71,31996
2 BHK Apartment in Shree Siddhivinayak Meera,Bangalore,Shree Siddhivinayak Meera,2,16180603,1545.9,3146.9,65008
3 BHK Apartment in Kotwal Nagar,Mumbai,Kotwal Nagar,3,2589370,669.2,8173.97,8558
3 BHK Apartment in Udhyog Nagar,Bangalore,Udhyog Nagar,3,5210732,721.5,19634.15,20651
3 BHK Apartment in,Mumbai,,3,13320541,1336,3635.82,53434
2 BHK Apartment in Palace Orchard,Mohammed Wadi,Palace Orchard,2,9222000,1243,7419.15,36888
3 BHK Apartment in,Mumbai,,3,16740662,1201.2,6742.49,63831
3 BHK Apartment in Khese Park,Mumbai,Khese Park,3,10263204,922,7938.35,36798
3 BHK Apartment in Hinjawadi Phase 1,Mumbai,Hinjawadi Phase 1,3,8383876,867.9,8183.86,32442
4 BHK Apartment in Laxmi Park Colony,Mumbai,Laxmi Park Colony,4,12644184,1231.4,15648.15,52314
4 BHK Apartment in Ganga Nagar,Bangalore,Ganga Nagar,4,10187503,1311.2,8111.79,47678
2 BHK Apartment in Kotwal Wadi,Charholi Budruk,Kotwal Wadi,2.5,4364000,1488,2932.8,17456
2 BHK Apartment in ,Kharadi,,2.5,8002000,904,8851.77,32008
4 BHK Apartment in,Mumbai,,4,24262364,1281.9,8374.04,96336
3 BHK Apartment in ,Hinjawadi Phase 2,,3,5470000,701,7803.14,21880
3 BHK Apartment in Dattawadi,Bangalore,Dattawadi,3,12706012,901.9,10261.96,49956
3 BHK Apartment in ,Kharadi,,3,7008000,737,9508.82,28032
2 BHK Apartment in Laxmi Vihar,Mumbai,Laxmi Vihar,2,20673006,750.2,7531.7,78055
3 BHK Apartment in Saint Tukaram Nagar,Bangalore,Saint Tukaram Nagar,3,2388155,809.9,7375.49,8268
3 BHK Apartment in Balewadi Gaon,Bangalore,Balewadi Gaon,3,10353718,974.7,14084.51,36464
2 BHK Apartment in Kuthwad Colony,Mumbai,Kuthwad Colony,2,6736589,675.1,7819.08,26794
4 BHK Apartment in Jadhav Nagar,Bangalore,Jadhav Nagar,4,9325015,1195,14554.67,34133
3 BHK Apartment in Atul Nagar,Mumbai,Atul Nagar,3,22031900,1547.9,7306.27,77019
2 BHK Apartment in Ramya Nagari,Bangalore,Ramya Nagari,2,10831738,1440.6,7043.73,50299
2 BHK Apartment in ,Ambegaon Budruk,,2,6909000,738,9361.79,27636
3 BHK Apartment in Ashoka Nagar,Mumbai,Ashoka Nagar,3,29704595,1271.4,7645.75,136407
3 BHK Apartment in Mohan Nagar Co-Op Society,Mumbai,Mohan Nagar Co-Op Society,3,19337930,1623.2,7323.57,84642
2 BHK Apartment in Bellagio,Mumbai,Bellagio,2,15821195,1443.5,2555.83,57299
3 BHK Apartment in,Mumbai,,3,4121320,1195.1,6742.49,15845
3 BHK Apartment in ,Mahalunge,,3,6854000,790,8675.95,27416
2 BHK Apartment in,Bangalore,,2,2438379,686.6,7779.35,11679
2 BHK Apartment in Laxmi Vihar,Mumbai,Laxmi Vihar,2,6090569,667.4,7531.7,25018
4 BHK Apartment in Tulaja Bhawani Nagar,Kharadi,Tulaja Bhawani Nagar,4,9420000,1201,7843.46,37680
3 BHK Apartment in Kotwal Nagar,Bangalore,Kotwal Nagar,3,8383307,996.5,9313.31,34151
3 BHK Apartment in,Bangalore,,3,8126969,841.5,6719.37,32391
2 BHK Apartment in Mukai Nagar,Bangalore,Mukai Nagar,2,22876281,1629.1,8374.04,92825
3 BHK Apartment in Atul Nagar,Bangalore,Atul Nagar,3,12044829,1225.3,7823.53,48283
3 BHK Apartment in,Bangalore,,3,10835484,1232.7,3635.82,46900
3 BHK Apartment in,Bangalore,,3,2026249,760.6,9423.51,8414
3 BHK Apartment in Siddartha Nagar,Bangalore,Siddartha Nagar,3,6831183,857.3,7817.84,26447
3 BHK Apartment in Mohanwadi,Yerawada,Mohanwadi,3,8480000,1201,7060.78,33920
2 BHK Apartment in,Bangalore,,2,7872436,889.4,7779.35,30553
2 BHK Apartment in Kotwal Wadi,Charholi Budruk,Kotwal Wadi,2,3185000,1219,2612.8,12740
4 BHK Apartment in,Bangalore,,4,10233151,1275.3,7077.26,45515
3 BHK Apartment in,Mumbai,,3,21955609,1442.4,3452.42,81248
4 BHK Apartment in Shankar Kalat Nagar,Wakad,Shankar Kalat Nagar,4,28000000,1427,19621.58,112000
4 BHK Apartment in Magarpatta City,Bangalore,Magarpatta City,4,8585099,1140.1,15736.04,32505
3 BHK Apartment in Ram Nagar,Mumbai,Ram Nagar,3,13102801,1195.9,6728.16,46735
3 BHK Apartment in,Bangalore,,3,7452709,858.5,19634.15,27456
2 BHK Apartment in Dattwadi,Bangalore,Dattwadi,2,16975276,851.6,8638.76,69069
2 BHK Apartment in Mukai Nagar,Mumbai,Mukai Nagar,2,25884753,1443,8374.04,117776
3 BHK Apartment in Wadmukhwadi,Mumbai,Wadmukhwadi,3,14829389,1187.6,2792.79,63394
3 BHK Apartment in,Mumbai,,3,14083677,1110.9,6742.49,49217
5 BHK Apartment in,Mumbai,,5,31931335,1353.2,18328.65,134329
4 BHK Apartment in Dattwadi,Bangalore,Dattwadi,4,23122891,1396.6,7640.26,83876
3 BHK Apartment in Bellagio,Mumbai,Bellagio,3,21959911,823.1,7545.1,90059
3 BHK Apartment in Bankar Vasti,Bangalore,Bankar Vasti,3,5872832,642.7,6762.85,24155
2 BHK Apartment in,Mumbai,,2,9797987,931.6,8388.47,35364
4 BHK Apartment in,Mumbai,,4,4740742,1435.1,7307.01,18915
3 BHK Apartment in,Mumbai,,3,16979682,1464.3,15674.89,55545
3 BHK Apartment in Nilanjali Society,Mumbai,Nilanjali Society,3,11350832,1063.1,15364.12,39323
4 BHK Apartment in Ashok Nagar,Bangalore,Ashok Nagar,4,9521048,1227.4,7312.36,37273
3 BHK Apartment in,Mumbai,,3,10966227,705.6,7440.1,49916
4 BHK Apartment in Mayur Colony,Mumbai,Mayur Colony,4,17585058,1183.7,13652.61,65974
3 BHK Apartment in Rakshak Nagar,Kharadi,Rakshak Nagar,3,9141000,1205,7585.89,36564
3 BHK Apartment in Rakshak Nagar,Bangalore,Rakshak Nagar,3,5078272,716,8558.49,21517
3 BHK Apartment in Bankar Vasti,Mumbai,Bankar Vasti,3,16787732,1474.2,6946.53,62551
5 BHK Apartment in,Bangalore,,5,3507141,1296.3,15529.75,13988
3 BHK Apartment in Tulaja Bhawani Nagar,Mumbai,Tulaja Bhawani Nagar,3,18106932,1458.5,8374.04,67530
2 BHK Apartment in,Bangalore,,2,12394715,1437.1,2761.01,44047
3 BHK Apartment in,Bangalore,,3,9735259,858.9,8612.44,32531
3 BHK Apartment in North Hadapsar,Mumbai,North Hadapsar,3,6446022,691.6,7402.31,27547
2 BHK Apartment in Laxmi Vihar,Mumbai,Laxmi Vihar,2,7991069,778.5,7531.7,27500
4 BHK Apartment in ,Pashan,,4,22800000,1392,16379.31,91200
3 BHK Apartment in,Mumbai,,3,14704334,1376.1,3635.82,60140
3 BHK Apartment in Wadmukhwadi,Mumbai,Wadmukhwadi,3,15097762,1332.8,2792.79,54631
4 BHK Apartment in Hinjawadi Phase 1,Bangalore,Hinjawadi Phase 1,4,11640295,1494.1,8982.93,40966
4 BHK Apartment in,Mumbai,,4,15054452,1342.3,7238.23,53207
4 BHK Apartment in ,Sus,,4,9901000,1355,7307.01,39604
2 BHK Apartment in Siddharth Nagar,Mumbai,Siddharth Nagar,2,13740784,940.7,16100.63,52008
3 BHK Apartment in Ashoka Nagar,Bangalore,Ashoka Nagar,3,7131103,869,9468.11,25285
4 BHK Apartment in Ram Nagar,Mumbai,Ram Nagar,4,16261776,1424.1,7172.13,65299
3 BHK Apartment in,Bangalore,,3,7002731,889.1,8612.44,30794
3 BHK Apartment in Hinjawadi Phase 1,Mumbai,Hinjawadi Phase 1,3,10250426,874.8,8929.65,35367
4 BHK Apartment in,Bangalore,,4,11492145,1459.9,20672.74,47460
3 BHK Apartment in Laxmi Nagar,Bangalore,Laxmi Nagar,3,8129632,822.7,8394.74,33938
4 BHK Apartment in Dattwadi,Tathawade,Dattwadi,4,8900000,1227,7253.46,35600
2 BHK Apartment in Kotwal Nagar,Mumbai,Kotwal Nagar,2,14234348,1350.3,2497.29,58773
4 BHK Apartment in ,Shewalewadi,,4,18400000,1391,13227.89,73600
2 BHK Apartment in Hadapsar Industrial Estate,Bangalore,Hadapsar Industrial Estate,2,5860415,843.2,9179.16,24129
3 BHK Apartment in Kotwal Nagar,Bangalore,Kotwal Nagar,3,3186796,1251.3,7282.88,15016
