Title,City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Monthly_Rent
3 BHK Apartment in Bellandur,Bangalore,Bellandur,3 BHK,6491000,1441,4504.510756,15736
3 BHK Apartment in Electronic City,Bangalore,Electronic City,3 BHK,6529000,1154,5657.712305,13163
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,6701000,1389,4824.334053,14149
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,6796000,1279,5313.526192,16965
3 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,3 BHK,6825000,1255,5438.247012,14685
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,6827000,1445,4724.567474,13717
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,6836000,1169,5847.733105,17118
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,6852000,1198,5719.532554,15246
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,6919000,702,9856.125356,14716
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,6933000,657,10552.51142,15446
3 BHK Apartment in Yelahanka,Bangalore,Yelahanka,3 BHK,6992000,1252,5584.664537,15919
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,7044000,663,10624.43439,16091
3 BHK Apartment in Bellandur,Bangalore,Bellandur,3 BHK,7064000,1227,5757.131214,16406
3 BHK Apartment in Hennur,Bangalore,Hennur,3 BHK,7117000,1241,5734.891217,15490
2 BHK Apartment in BTM Layout,Bangalore,BTM Layout,2 BHK,7218000,664,10870.48193,15875
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,7230000,1192,6065.436242,15618
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,7237000,1136,6370.598592,17018
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,7271000,1176,6182.823129,18099
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,7277000,1340,5430.597015,13225
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,7301000,645,11319.37984,15581
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,7370000,1149,6414.273281,17773
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,7378000,646,11421.05263,14797
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,7452000,1213,6143.446002,16682
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,7489000,659,11364.18816,14204
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,7499000,1145,6549.344978,15929
3 BHK Apartment in Electronic City,Bangalore,Electronic City,3 BHK,7511000,1442,5208.737864,13810
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,7584000,1197,6335.839599,16773
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,7642000,1191,6416.456759,16701
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,7656000,673,11375.92868,15094
3 BHK Apartment in Indiranagar,Bangalore,Indiranagar,3 BHK,7685000,1431,5370.37037,13731
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,7687000,1434,5360.529986,14995
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,7749000,1166,6645.797599,17061
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,7983000,643,12415.24106,16636
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,7986000,1103,7240.253853,16638
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,7996000,1553,5148.744366,19256
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,8059000,657,12266.36225,19541
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,8125000,668,12163.17365,14441
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,8138000,686,11862.97376,16047
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,8185000,698,11726.36103,19874
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,8236000,1696,4856.132075,20241
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,8258000,1533,5386.823222,18388
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,8309000,1574,5278.907243,16327
3 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,3 BHK,8408000,661,12720.12103,18105
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,8528000,1471,5797.416723,19603
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,8531000,1139,7489.903424,18207
2 BHK Apartment in BTM Layout,Bangalore,BTM Layout,2 BHK,8560000,1161,7372.95435,15116
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,8623000,654,13185.01529,16750
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,8648000,1695,5102.064897,18872
1 BHK Apartment in Hoodi,Bangalore,Hoodi,1 BHK,8674000,1191,7282.9555,17945
1 BHK Apartment in Electronic City,Bangalore,Electronic City,1 BHK,8687000,1164,7463.058419,20786
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,8717000,1093,7975.297347,17065
1 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,1 BHK,8793000,1135,7747.136564,21057
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,8813000,1478,5962.787551,16458
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,8928000,1557,5734.104046,19188
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,9017000,1106,8152.802893,22021
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,9060000,1721,5264.381174,17597
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,9066000,1478,6133.964817,16399
1 BHK Apartment in Hebbal,Bangalore,Hebbal,1 BHK,9092000,1199,7582.985822,20549
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,9140000,1124,8131.672598,20104
2 BHK Apartment in BTM Layout,Bangalore,BTM Layout,2 BHK,9159000,1532,5978.45953,17412
1 BHK Apartment in Indiranagar,Bangalore,Indiranagar,1 BHK,9159000,1181,7755.292125,21691
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,9181000,647,14190.10819,17935
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,9224000,1558,5920.410783,19282
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,9256000,706,13110.48159,17695
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,9283000,1670,5558.682635,19295
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,9317000,1095,8508.675799,21300
3 BHK Apartment in Hennur,Bangalore,Hennur,3 BHK,9447000,690,13691.30435,19253
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,9498000,1633,5816.289039,20138
1 BHK Apartment in HSR Layout,Bangalore,HSR Layout,1 BHK,9501000,1124,8452.846975,19384
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,9515000,1557,6111.111111,17048
1 BHK Apartment in HSR Layout,Bangalore,HSR Layout,1 BHK,9529000,1430,6663.636364,20913
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,9543000,1600,5964.375,17802
1 BHK Apartment in Whitefield,Bangalore,Whitefield,1 BHK,9562000,1194,8008.375209,19648
1 BHK Apartment in Jayanagar,Bangalore,Jayanagar,1 BHK,9568000,1509,6340.622929,22946
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,9579000,691,13862.51809,19227
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,9589000,1641,5843.388178,18192
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,9594000,1100,8721.818182,19420
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,9646000,645,14955.03876,18406
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,9661000,1638,5898.046398,19662
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,9675000,1178,8213.073005,20875
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,9700000,1592,6092.964824,18218
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,9723000,1189,8177.46005,21852
1 BHK Apartment in Koramangala,Bangalore,Koramangala,1 BHK,9741000,1189,8192.598823,18960
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,9766000,1187,8227.464195,19528
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,9804000,1718,5706.635623,17141
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,10020000,1190,8420.168067,21464
1 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,1 BHK,10044000,1198,8383.973289,18916
1 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,1 BHK,10058000,1174,8567.291312,21359
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,10197000,1176,8670.918367,19885
1 BHK Apartment in Banashankari,Bangalore,Banashankari,1 BHK,10268000,1525,6733.114754,22578
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,10433000,1180,8841.525424,19730
1 BHK Apartment in JP Nagar,Bangalore,JP Nagar,1 BHK,10516000,1431,7348.707198,20143
1 BHK Apartment in Indiranagar,Bangalore,Indiranagar,1 BHK,10544000,1496,7048.128342,20360
1 BHK Apartment in Hebbal,Bangalore,Hebbal,1 BHK,10589000,1447,7317.899102,23384
1 BHK Apartment in Koramangala,Bangalore,Koramangala,1 BHK,10744000,1540,6976.623377,23657
1 BHK Apartment in Electronic City,Bangalore,Electronic City,1 BHK,10880000,1551,7014.829142,19778
1 BHK Apartment in Marathahalli,Bangalore,Marathahalli,1 BHK,11004000,1467,7501.022495,22322
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,11103000,1682,6601.070155,25283
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,11137000,1715,6493.877551,26265
1 BHK Apartment in Whitefield,Bangalore,Whitefield,1 BHK,11287000,1510,7474.834437,23035
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,11408000,1697,6722.451385,25989
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,11462000,1674,6847.072879,25415
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,11524000,1635,7048.318043,23243
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,11524000,1252,9204.472843,24820
1 BHK Apartment in Banashankari,Bangalore,Banashankari,1 BHK,11769000,1513,7778.585592,24808
1 BHK Apartment in JP Nagar,Bangalore,JP Nagar,1 BHK,11774000,1499,7854.569713,24496
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,11843000,1691,7003.548196,27157
1 BHK Apartment in Indiranagar,Bangalore,Indiranagar,1 BHK,11858000,1555,7625.723473,27789
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,12070000,1233,9789.132198,23568
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,12101000,1628,7433.046683,25549
1 BHK Apartment in Koramangala,Bangalore,Koramangala,1 BHK,12294000,1555,7906.109325,26964
1 BHK Apartment in HSR Layout,Bangalore,HSR Layout,1 BHK,12329000,668,18456.58683,24485
1 BHK Apartment in Marathahalli,Bangalore,Marathahalli,1 BHK,12331000,1444,8539.473684,24384
1 BHK Apartment in Electronic City,Bangalore,Electronic City,1 BHK,12480000,674,18516.32047,25971
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,12538000,1683,7449.792038,24850
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,12626000,1228,10281.75896,24294
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,12645000,1088,11622.24265,28118
1 BHK Apartment in HSR Layout,Bangalore,HSR Layout,1 BHK,12715000,1437,8848.295059,27187
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,12720000,1749,7272.727273,26841
1 BHK Apartment in Indiranagar,Bangalore,Indiranagar,1 BHK,12750000,646,19736.84211,29671
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,12766000,1626,7851.168512,24626
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,12789000,1173,10902.8133,28144
1 BHK Apartment in Bellandur,Bangalore,Bellandur,1 BHK,12813000,683,18759.88287,28108
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,12828000,1226,10463.29527,24887
1 BHK Apartment in Marathahalli,Bangalore,Marathahalli,1 BHK,12851000,695,18490.64748,25193
1 BHK Apartment in Whitefield,Bangalore,Whitefield,1 BHK,12853000,1481,8678.595544,29216
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,12878000,1139,11306.40913,27787
1 BHK Apartment in Jayanagar,Bangalore,Jayanagar,1 BHK,12931000,1461,8850.787132,24690
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,12945000,1226,10558.72757,23666
1 BHK Apartment in Koramangala,Bangalore,Koramangala,1 BHK,13093000,692,18920.52023,29109
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,13276000,1191,11146.93535,27289
1 BHK Apartment in Electronic City,Bangalore,Electronic City,1 BHK,13298000,1436,9260.445682,29223
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,13340000,1116,11953.40502,27579
1 BHK Apartment in JP Nagar,Bangalore,JP Nagar,1 BHK,13351000,675,19779.25926,28364
1 BHK Apartment in Jayanagar,Bangalore,Jayanagar,1 BHK,13372000,649,20604.00616,28648
3 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,3 BHK,13379000,1123,11913.62422,28940
1 BHK Apartment in Banashankari,Bangalore,Banashankari,1 BHK,13423000,645,20810.85271,25407
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,13465000,1120,12022.32143,28123
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,13522000,1214,11138.3855,24079
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,13565000,1288,10531.8323,27388
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,13604000,1250,10883.2,24339
1 BHK Apartment in Hebbal,Bangalore,Hebbal,1 BHK,13718000,1576,8704.314721,25698
1 BHK Apartment in Hebbal,Bangalore,Hebbal,1 BHK,13790000,701,19671.89729,27287
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,14038000,1247,11257.4178,29921
5 BHK Apartment in Hennur,Bangalore,Hennur,5 BHK,14078000,676,20825.44379,29914
2 BHK Apartment in BTM Layout,Bangalore,BTM Layout,2 BHK,14207000,1204,11799.83389,32482
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,14307000,1251,11436.45084,32139
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,14349000,1175,12211.91489,29069
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,14415000,1184,12174.83108,30071
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,14416000,1100,13105.45455,29048
3 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,3 BHK,14620000,1201,12173.18901,30072
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,14625000,1125,13000,26925
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,14744000,1174,12558.77342,31279
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,14791000,1092,13544.87179,36483
5 BHK Apartment in Marathahalli,Bangalore,Marathahalli,5 BHK,14910000,677,22023.63368,29689
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,14940000,1148,13013.93728,31302
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,14948000,1250,11958.4,28701
5 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,5 BHK,14960000,665,22496.2406,27748
5 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,5 BHK,15063000,649,23209.55316,31325
5 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,5 BHK,15072000,648,23259.25926,32952
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,15125000,1179,12828.66836,32006
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,15204000,1269,11981.08747,33845
3 BHK Apartment in Yelahanka,Bangalore,Yelahanka,3 BHK,15232000,1137,13396.65787,26441
3 BHK Apartment in Bellandur,Bangalore,Bellandur,3 BHK,15298000,1095,13970.77626,29556
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,15310000,1196,12801.00334,28744
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,15367000,1186,12956.99831,30829
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,15384000,1100,13985.45455,30339
5 BHK Apartment in BTM Layout,Bangalore,BTM Layout,5 BHK,15453000,707,21857.14286,32003
5 BHK Apartment in Yelahanka,Bangalore,Yelahanka,5 BHK,15457000,668,23139.22156,29436
5 BHK Apartment in Hoodi,Bangalore,Hoodi,5 BHK,15466000,685,22578.10219,31899
5 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,5 BHK,15591000,698,22336.67622,27704
5 BHK Apartment in Bellandur,Bangalore,Bellandur,5 BHK,15650000,680,23014.70588,27226
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,15772000,1103,14299.18404,35569
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,15869000,1212,13093.23432,31891
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,16202000,1252,12940.89457,32141
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,16670000,1167,14284.49015,34223
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,16997000,1739,9774.008051,37371
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,17006000,1277,13317.14957,35089
3 BHK Apartment in Indiranagar,Bangalore,Indiranagar,3 BHK,17015000,1619,10509.57381,40537
3 BHK Apartment in Hennur,Bangalore,Hennur,3 BHK,17198000,1098,15663.02368,35117
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,17341000,1149,15092.25413,36438
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,17460000,1186,14721.75379,35829
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,17548000,1612,10885.85608,33870
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,17611000,1223,14399.83647,39282
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,17692000,1628,10867.32187,35045
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,17700000,1561,11338.88533,40658
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,17800000,1179,15097.54029,34777
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,17925000,1461,12268.99384,38276
3 BHK Apartment in Electronic City,Bangalore,Electronic City,3 BHK,18110000,1655,10942.59819,35458
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,18224000,1551,11749.83881,41082
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,18262000,1491,12248.1556,39341
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,18292000,1656,11045.89372,41239
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,18434000,1230,14986.99187,41129
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,18558000,1489,12463.39825,43224
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,18580000,1492,12453.08311,43450
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,18601000,1572,11832.6972,44453
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,18693000,1755,10651.28205,36196
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,18905000,1198,15780.46745,37117
1 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,1 BHK,18945000,1376,13768.1686,42688
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,19091000,1632,11697.91667,35162
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,19182000,1512,12686.50794,40594
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,19261000,1529,12597.1223,39680
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,19276000,1526,12631.71691,45532
1 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,1 BHK,19281000,1454,13260.66025,45415
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,19319000,1464,13196.03825,38171
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,19405000,1675,11585.07463,35808
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,19669000,1262,15585.57845,38469
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,19711000,1676,11760.73986,35154
1 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,1 BHK,19727000,1357,14537.21444,47988
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,19918000,1248,15959.9359,34725
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,19950000,1436,13892.75766,42503
1 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,1 BHK,19960000,1407,14186.2118,45313
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,19978000,1181,16916.17273,35768
3 BHK Apartment in Bellandur,Bangalore,Bellandur,3 BHK,20135000,1480,13604.72973,45224
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,20136000,1269,15867.61229,37986
