Title,City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Estimated_Monthly_Rent
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,4385000,1424,3079.35,8139
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,4393000,1494,2940.43,8457
3 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,3 BHK,4414000,1539,2868.1,9881
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,4482000,1505,2978.07,10231
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,4625000,1564,2957.16,9437
3 BHK Apartment in Electronic City,Bangalore,Electronic City,3 BHK,4791000,1491,3213.28,10415
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,4826000,1447,3335.18,9185
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,4917000,1525,3224.26,9248
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,4941000,1531,3227.3,9471
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,4950000,692,7153.18,9598
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,4984000,687,7254.73,11432
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,5033000,1557,3232.5,9883
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,5047000,649,7776.58,10874
3 BHK Apartment in Indiranagar,Bangalore,Indiranagar,3 BHK,5093000,1576,3231.6,9302
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,5174000,647,7996.91,11438
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,5374000,676,7949.7,10051
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,5375000,659,8156.3,11096
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,5401000,696,7760.06,9985
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,5443000,685,7945.99,11445
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,5455000,696,7837.64,10820
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,5474000,706,7753.54,10514
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,5594000,1177,4752.76,11271
3 BHK Apartment in Indiranagar,Bangalore,Indiranagar,3 BHK,5613000,1194,4701.01,12522
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,5635000,1210,4657.02,13286
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,5984000,1226,4880.91,11980
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,5988000,1127,5313.22,12103
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,6141000,1146,5358.64,12210
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,6203000,1113,5573.23,11946
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,6281000,1213,5178.07,11322
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,6285000,1141,5508.33,12855
3 BHK Apartment in Yelahanka,Bangalore,Yelahanka,3 BHK,6311000,1422,4438.12,14814
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,6330000,1427,4435.88,14668
3 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,3 BHK,6361000,1433,4438.94,15136
3 BHK Apartment in Bellandur,Bangalore,Bellandur,3 BHK,6491000,1441,4504.51,15736
3 BHK Apartment in Electronic City,Bangalore,Electronic City,3 BHK,6529000,1154,5657.71,13163
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,6701000,1389,4824.33,14149
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,6796000,1279,5313.53,16965
3 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,3 BHK,6825000,1255,5438.25,14685
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,6827000,1445,4724.57,13717
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,6836000,1169,5847.73,17118
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,6852000,1198,5719.53,15246
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,6919000,702,9856.13,14716
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,6933000,657,10552.51,15446
3 BHK Apartment in Yelahanka,Bangalore,Yelahanka,3 BHK,6992000,1252,5584.66,15919
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,7044000,663,10624.43,16091
3 BHK Apartment in Bellandur,Bangalore,Bellandur,3 BHK,7064000,1227,5757.13,16406
3 BHK Apartment in Hennur,Bangalore,Hennur,3 BHK,7117000,1241,5734.89,15490
2 BHK Apartment in BTM Layout,Bangalore,BTM Layout,2 BHK,7218000,664,10870.48,15875
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,7230000,1192,6065.44,15618
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,7237000,1136,6370.6,17018
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,7271000,1176,6182.82,18099
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,7277000,1340,5430.6,13225
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,7301000,645,11319.38,15581
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,7370000,1149,6414.27,17773
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,7378000,646,11421.05,14797
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,7452000,1213,6143.45,16682
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,7489000,659,11364.19,14204
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,7499000,1145,6549.34,15929
3 BHK Apartment in Electronic City,Bangalore,Electronic City,3 BHK,7511000,1442,5208.74,13810
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,7584000,1197,6335.84,16773
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,7642000,1191,6416.46,16701
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,7656000,673,11375.93,15094
3 BHK Apartment in Indiranagar,Bangalore,Indiranagar,3 BHK,7685000,1431,5370.37,13731
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,7687000,1434,5360.53,14995
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,7749000,1166,6645.8,17061
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,7983000,643,12415.24,16636
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,7986000,1103,7240.25,16638
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,7996000,1553,5148.74,19256
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,8059000,657,12266.36,19541
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,8125000,668,12163.17,14441
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,8138000,686,11862.97,16047
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,8185000,698,11726.36,19874
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,8236000,1696,4856.13,20241
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,8258000,1533,5386.82,18388
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,8309000,1574,5278.91,16327
3 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,3 BHK,8408000,661,12720.12,18105
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,8528000,1471,5797.42,19603
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,8531000,1139,7489.9,18207
2 BHK Apartment in BTM Layout,Bangalore,BTM Layout,2 BHK,8560000,1161,7372.95,15116
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,8623000,654,13185.02,16750
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,8648000,1695,5102.06,18872
1 BHK Apartment in Hoodi,Bangalore,Hoodi,1 BHK,8674000,1191,7282.96,17945
1 BHK Apartment in Electronic City,Bangalore,Electronic City,1 BHK,8687000,1164,7463.06,20786
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,8717000,1093,7975.3,17065
1 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,1 BHK,8793000,1135,7747.14,21057
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,8813000,1478,5962.79,16458
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,8928000,1557,5734.1,19188
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,9017000,1106,8152.8,22021
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,9060000,1721,5264.38,17597
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,9066000,1478,6133.96,16399
1 BHK Apartment in Hebbal,Bangalore,Hebbal,1 BHK,9092000,1199,7582.99,20549
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,9140000,1124,8131.67,20104
2 BHK Apartment in BTM Layout,Bangalore,BTM Layout,2 BHK,9159000,1532,5978.46,17412
1 BHK Apartment in Indiranagar,Bangalore,Indiranagar,1 BHK,9159000,1181,7755.29,21691
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,9181000,647,14190.11,17935
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,9224000,1558,5920.41,19282
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,9256000,706,13110.48,17695
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,9283000,1670,5558.68,19295
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,9317000,1095,8508.68,21300
3 BHK Apartment in Hennur,Bangalore,Hennur,3 BHK,9447000,690,13691.3,19253
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,9498000,1633,5816.29,20138
1 BHK Apartment in HSR Layout,Bangalore,HSR Layout,1 BHK,9501000,1124,8452.85,19384
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,9515000,1557,6111.11,17048
1 BHK Apartment in HSR Layout,Bangalore,HSR Layout,1 BHK,9529000,1430,6663.64,20913
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,9543000,1600,5964.38,17802
1 BHK Apartment in Whitefield,Bangalore,Whitefield,1 BHK,9562000,1194,8008.38,19648
1 BHK Apartment in Jayanagar,Bangalore,Jayanagar,1 BHK,9568000,1509,6340.62,22946
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,9579000,691,13862.52,19227
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,9589000,1641,5843.39,18192
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,9594000,1100,8721.82,19420
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,9646000,645,14955.04,18406
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,9661000,1638,5898.05,19662
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,9675000,1178,8213.07,20875
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,9700000,1592,6092.96,18218
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,9723000,1189,8177.46,21852
1 BHK Apartment in Koramangala,Bangalore,Koramangala,1 BHK,9741000,1189,8192.6,18960
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,9766000,1187,8227.46,19528
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,9804000,1718,5706.64,17141
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,10020000,1190,8420.17,21464
1 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,1 BHK,10044000,1198,8383.97,18916
1 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,1 BHK,10058000,1174,8567.29,21359
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,10197000,1176,8670.92,19885
1 BHK Apartment in Banashankari,Bangalore,Banashankari,1 BHK,10268000,1525,6733.11,22578
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,10433000,1180,8841.53,19730
1 BHK Apartment in JP Nagar,Bangalore,JP Nagar,1 BHK,10516000,1431,7348.71,20143
1 BHK Apartment in Indiranagar,Bangalore,Indiranagar,1 BHK,10544000,1496,7048.13,20360
1 BHK Apartment in Hebbal,Bangalore,Hebbal,1 BHK,10589000,1447,7317.9,23384
1 BHK Apartment in Koramangala,Bangalore,Koramangala,1 BHK,10744000,1540,6976.62,23657
1 BHK Apartment in Electronic City,Bangalore,Electronic City,1 BHK,10880000,1551,7014.83,19778
1 BHK Apartment in Marathahalli,Bangalore,Marathahalli,1 BHK,11004000,1467,7501.02,22322
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,11103000,1682,6601.07,25283
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,11137000,1715,6493.88,26265
1 BHK Apartment in Whitefield,Bangalore,Whitefield,1 BHK,11287000,1510,7474.83,23035
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,11408000,1697,6722.45,25989
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,11462000,1674,6847.07,25415
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,11524000,1635,7048.32,23243
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,11524000,1252,9204.47,24820
1 BHK Apartment in Banashankari,Bangalore,Banashankari,1 BHK,11769000,1513,7778.59,24808
1 BHK Apartment in JP Nagar,Bangalore,JP Nagar,1 BHK,11774000,1499,7854.57,24496
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,11843000,1691,7003.55,27157
1 BHK Apartment in Indiranagar,Bangalore,Indiranagar,1 BHK,11858000,1555,7625.72,27789
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,12070000,1233,9789.13,23568
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,12101000,1628,7433.05,25549
1 BHK Apartment in Koramangala,Bangalore,Koramangala,1 BHK,12294000,1555,7906.11,26964
1 BHK Apartment in HSR Layout,Bangalore,HSR Layout,1 BHK,12329000,668,18456.59,24485
1 BHK Apartment in Marathahalli,Bangalore,Marathahalli,1 BHK,12331000,1444,8539.47,24384
1 BHK Apartment in Electronic City,Bangalore,Electronic City,1 BHK,12480000,674,18516.32,25971
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,12538000,1683,7449.79,24850
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,12626000,1228,10281.76,24294
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,12645000,1088,11622.24,28118
1 BHK Apartment in HSR Layout,Bangalore,HSR Layout,1 BHK,12715000,1437,8848.3,27187
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,12720000,1749,7272.73,26841
1 BHK Apartment in Indiranagar,Bangalore,Indiranagar,1 BHK,12750000,646,19736.84,29671
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,12766000,1626,7851.17,24626
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,12789000,1173,10902.81,28144
1 BHK Apartment in Bellandur,Bangalore,Bellandur,1 BHK,12813000,683,18759.88,28108
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,12828000,1226,10463.3,24887
1 BHK Apartment in Marathahalli,Bangalore,Marathahalli,1 BHK,12851000,695,18490.65,25193
1 BHK Apartment in Whitefield,Bangalore,Whitefield,1 BHK,12853000,1481,8678.6,29216
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,12878000,1139,11306.41,27787
1 BHK Apartment in Jayanagar,Bangalore,Jayanagar,1 BHK,12931000,1461,8850.79,24690
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,12945000,1226,10558.73,23666
1 BHK Apartment in Koramangala,Bangalore,Koramangala,1 BHK,13093000,692,18920.52,29109
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,13276000,1191,11146.94,27289
1 BHK Apartment in Electronic City,Bangalore,Electronic City,1 BHK,13298000,1436,9260.45,29223
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,13340000,1116,11953.41,27579
1 BHK Apartment in JP Nagar,Bangalore,JP Nagar,1 BHK,13351000,675,19779.26,28364
1 BHK Apartment in Jayanagar,Bangalore,Jayanagar,1 BHK,13372000,649,20604.01,28648
3 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,3 BHK,13379000,1123,11913.62,28940
1 BHK Apartment in Banashankari,Bangalore,Banashankari,1 BHK,13423000,645,20810.85,25407
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,13465000,1120,12022.32,28123
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,13522000,1214,11138.39,24079
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,13565000,1288,10531.83,27388
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,13604000,1250,10883.2,24339
1 BHK Apartment in Hebbal,Bangalore,Hebbal,1 BHK,13718000,1576,8704.31,25698
1 BHK Apartment in Hebbal,Bangalore,Hebbal,1 BHK,13790000,701,19671.9,27287
2 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,2 BHK,14038000,1247,11257.42,29921
5 BHK Apartment in Hennur,Bangalore,Hennur,5 BHK,14078000,676,20825.44,29914
2 BHK Apartment in BTM Layout,Bangalore,BTM Layout,2 BHK,14207000,1204,11799.83,32482
2 BHK Apartment in Hennur,Bangalore,Hennur,2 BHK,14307000,1251,11436.45,32139
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,14349000,1175,12211.91,29069
2 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,2 BHK,14415000,1184,12174.83,30071
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,14416000,1100,13105.45,29048
3 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,3 BHK,14620000,1201,12173.19,30072
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,14625000,1125,13000.0,26925
2 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,2 BHK,14744000,1174,12558.77,31279
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,14791000,1092,13544.87,36483
5 BHK Apartment in Marathahalli,Bangalore,Marathahalli,5 BHK,14910000,677,22023.63,29689
3 BHK Apartment in Hoodi,Bangalore,Hoodi,3 BHK,14940000,1148,13013.94,31302
2 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,2 BHK,14948000,1250,11958.4,28701
5 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,5 BHK,14960000,665,22496.24,27748
5 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,5 BHK,15063000,649,23209.55,31325
5 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,5 BHK,15072000,648,23259.26,32952
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,15125000,1179,12828.67,32006
2 BHK Apartment in Hoodi,Bangalore,Hoodi,2 BHK,15204000,1269,11981.09,33845
3 BHK Apartment in Yelahanka,Bangalore,Yelahanka,3 BHK,15232000,1137,13396.66,26441
3 BHK Apartment in Bellandur,Bangalore,Bellandur,3 BHK,15298000,1095,13970.78,29556
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,15310000,1196,12801.0,28744
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,15367000,1186,12957.0,30829
3 BHK Apartment in BTM Layout,Bangalore,BTM Layout,3 BHK,15384000,1100,13985.45,30339
5 BHK Apartment in BTM Layout,Bangalore,BTM Layout,5 BHK,15453000,707,21857.14,32003
5 BHK Apartment in Yelahanka,Bangalore,Yelahanka,5 BHK,15457000,668,23139.22,29436
5 BHK Apartment in Hoodi,Bangalore,Hoodi,5 BHK,15466000,685,22578.1,31899
5 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,5 BHK,15591000,698,22336.68,27704
5 BHK Apartment in Bellandur,Bangalore,Bellandur,5 BHK,15650000,680,23014.71,27226
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,15772000,1103,14299.18,35569
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,15869000,1212,13093.23,31891
2 BHK Apartment in Yelahanka,Bangalore,Yelahanka,2 BHK,16202000,1252,12940.89,32141
3 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,3 BHK,16670000,1167,14284.49,34223
3 BHK Apartment in HSR Layout,Bangalore,HSR Layout,3 BHK,16997000,1739,9774.01,37371
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,17006000,1277,13317.15,35089
3 BHK Apartment in Indiranagar,Bangalore,Indiranagar,3 BHK,17015000,1619,10509.57,40537
3 BHK Apartment in Hennur,Bangalore,Hennur,3 BHK,17198000,1098,15663.02,35117
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,17341000,1149,15092.25,36438
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,17460000,1186,14721.75,35829
3 BHK Apartment in Whitefield,Bangalore,Whitefield,3 BHK,17548000,1612,10885.86,33870
2 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,2 BHK,17611000,1223,14399.84,39282
3 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,3 BHK,17692000,1628,10867.32,35045
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,17700000,1561,11338.89,40658
2 BHK Apartment in Electronic City,Bangalore,Electronic City,2 BHK,17800000,1179,15097.54,34777
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,17925000,1461,12268.99,38276
3 BHK Apartment in Electronic City,Bangalore,Electronic City,3 BHK,18110000,1655,10942.6,35458
3 BHK Apartment in Marathahalli,Bangalore,Marathahalli,3 BHK,18224000,1551,11749.84,41082
2 BHK Apartment in Marathahalli,Bangalore,Marathahalli,2 BHK,18262000,1491,12248.16,39341
3 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,3 BHK,18292000,1656,11045.89,41239
2 BHK Apartment in HSR Layout,Bangalore,HSR Layout,2 BHK,18434000,1230,14986.99,41129
2 BHK Apartment in Bellandur,Bangalore,Bellandur,2 BHK,18558000,1489,12463.4,43224
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,18580000,1492,12453.08,43450
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,18601000,1572,11832.7,44453
3 BHK Apartment in Koramangala,Bangalore,Koramangala,3 BHK,18693000,1755,10651.28,36196
2 BHK Apartment in Whitefield,Bangalore,Whitefield,2 BHK,18905000,1198,15780.47,37117
1 BHK Apartment in Ramamurthy Nagar,Bangalore,Ramamurthy Nagar,1 BHK,18945000,1376,13768.17,42688
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,19091000,1632,11697.92,35162
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,19182000,1512,12686.51,40594
3 BHK Apartment in Banashankari,Bangalore,Banashankari,3 BHK,19261000,1529,12597.12,39680
3 BHK Apartment in Jayanagar,Bangalore,Jayanagar,3 BHK,19276000,1526,12631.72,45532
1 BHK Apartment in Bommanahalli,Bangalore,Bommanahalli,1 BHK,19281000,1454,13260.66,45415
2 BHK Apartment in Jayanagar,Bangalore,Jayanagar,2 BHK,19319000,1464,13196.04,38171
3 BHK Apartment in JP Nagar,Bangalore,JP Nagar,3 BHK,19405000,1675,11585.07,35808
2 BHK Apartment in Banashankari,Bangalore,Banashankari,2 BHK,19669000,1262,15585.58,38469
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,19711000,1676,11760.74,35154
1 BHK Apartment in Kasavanahalli,Bangalore,Kasavanahalli,1 BHK,19727000,1357,14537.21,47988
2 BHK Apartment in Hebbal,Bangalore,Hebbal,2 BHK,19918000,1248,15959.94,34725
2 BHK Apartment in Koramangala,Bangalore,Koramangala,2 BHK,19950000,1436,13892.76,42503
1 BHK Apartment in Malleshwaram,Bangalore,Malleshwaram,1 BHK,19960000,1407,14186.21,45313
2 BHK Apartment in JP Nagar,Bangalore,JP Nagar,2 BHK,19978000,1181,16916.17,35768
3 BHK Apartment in Bellandur,Bangalore,Bellandur,3 BHK,20135000,1480,13604.73,45224
2 BHK Apartment in Indiranagar,Bangalore,Indiranagar,2 BHK,20136000,1269,15867.61,37986
1 BHK Apartment in Yelahanka,Bangalore,Yelahanka,1 BHK,20471000,1344,15231.4,41756
1 BHK Apartment in BTM Layout,Bangalore,BTM Layout,1 BHK,20490000,1416,14470.34,42716
3 BHK Apartment in Sarjapur Road,Bangalore,Sarjapur Road,3 BHK,20508000,1548,13248.06,45494
1 BHK Apartment in Hoodi,Bangalore,Hoodi,1 BHK,20514000,1420,14446.48,45120
3 BHK Apartment in Hebbal,Bangalore,Hebbal,3 BHK,20552000,1493,13765.57,39893
